,s0_ssp585_theta5,s1_ssp585_theta5,s2_ssp585_theta5,s3_ssp585_theta5,s4_ssp585_theta2,s5_ssp585_theta5,s0_ssp245_theta5,s1_ssp245_theta5,s2_ssp245_theta5,s3_ssp245_theta5,s4_ssp245_theta2,s5_ssp245_theta5,s1x_ssp585_theta2,s3x_ssp585_theta2
s0_ssp585_theta5,7.612522917456615e-09,0.0024557162665101648,0.0012311151830825553,0.0011017473676155976,0.0031335503630537213,0.010150989236233718,0.00128324461968659,0.006893682161394073,0.001849441706361603,0.0015980154287760521,0.004460197098579181,0.010889890249483178,0.0032997247061952416,0.001099253836549905
s1_ssp585_theta5,0.002661644875394373,6.625150971492026e-12,0.004291373891195835,0.00593661267347024,0.003962744739429355,0.005928596457893856,0.004781614409207297,0.006275809429848435,0.00545321460325703,0.006839021458409169,0.0060445819220789065,0.007065879862104137,9.370665054675467e-10,0.005432154814078777
s2_ssp585_theta5,0.001178969273153894,0.004529365629960336,2.1331418672179177e-12,0.0031312734882102387,0.0045472316484314775,0.010602320756519628,0.0021448484331475556,0.00823055009011463,0.00038872229004036714,0.0034856519270014094,0.005580655045804399,0.011186819047027197,0.005231354060145268,0.003043673646118676
s3_ssp585_theta5,0.001307997314481948,0.006454505151937356,0.0038908580267339966,-8.717237068765624e-13,0.004771546143477535,0.013475373337378875,0.00220110862421273,0.010051001994232547,0.00427084233791886,0.0002962898211010909,0.005738347614501378,0.014027536337791722,0.007481603743541631,0.00010634508713467506
s4_ssp585_theta2,0.0011634325998394,0.004197631440159757,0.0029996140203574525,0.0021502636353136766,-1.039408424235601e-11,0.009663973915470149,0.002317193478308264,0.008344462319827842,0.00354026482356062,0.002585148747550038,0.0011405554334121646,0.010338520401466149,0.004199134784898209,0.0016484158220083638
s5_ssp585_theta5,0.008853371545994122,0.006462569310611638,0.01085136688545135,0.011993526402132236,0.011471757138193926,-4.7116899375867585e-14,0.010099319684347092,0.010623966496644406,0.01145144307008204,0.012486503525178768,0.012756416782331184,0.0007016477984832673,0.006987453699794491,0.011796780409725632
s0_ssp245_theta5,0.0015206450961753513,0.005419895628345331,0.0026461714318874764,0.0019775180772660644,0.004740075608937806,0.011141760833740641,5.365188406172798e-12,0.003075930122050524,0.0014533625760840892,0.0011607787253288752,0.0034452450856677645,0.010521802596633567,0.006360481474867046,0.0020317171331364616
s1_ssp245_theta5,0.005552738824674791,0.005367640325751891,0.007244116364333937,0.0074238372850127165,0.008428587901703744,0.008666574186125733,0.0028587985861203923,1.2484951867610337e-12,0.00529887554790189,0.00606975237822689,0.006031314225445056,0.007471699906233439,0.00586802803339426,0.007214803783684196
s2_ssp245_theta5,0.001590799465808247,0.0056182410493162685,0.0003773095520246969,0.0032409916731353313,0.005036022028291459,0.010920058041403682,0.0013705182946390276,0.006452790552824869,-6.4056638096483936e-12,0.003039721335150378,0.004961046845806227,0.010929814710272667,0.0063828052262650675,0.0031903631471735354
s3_ssp245_theta5,0.002005253995343904,0.007931866599651836,0.004485319525188473,0.0003962709645603777,0.00541099404670864,0.0138971878220657,0.0014187796940568604,0.007950210119379344,0.003909127241547078,6.57113114667469e-12,0.0049928936108860926,0.013732285145874528,0.008990008064013521,0.0005207719158711714
s4_ssp245_theta2,0.0029445993110140747,0.007875568635379583,0.004703866419732141,0.003107379457200539,0.0013084447225872747,0.01093540202214396,0.0014878766871307403,0.0057310787847915864,0.0035584417581140085,0.0023181265698815423,-6.933423405330957e-12,0.010344838474791555,0.007877116991320734,0.0026050162695849884
s5_ssp245_theta5,0.01041641710932679,0.010135918522816003,0.012158664151459024,0.012784435325533123,0.013416792735994667,0.0006263512353158753,0.008923059204423711,0.007700016280797724,0.010987747624110861,0.011993584327733299,0.012144868385709046,1.1047471003043672e-12,0.010930455586120855,0.012746877398653877
s1x_ssp585_theta2,0.0026657926681345158,1.6368010879727049e-09,0.004295627127536506,0.005942153820658238,0.003968875694294363,0.005923772969731108,0.004787079282992604,0.00627886220728614,0.005458318073144267,0.006845186903145852,0.006051975299595858,0.007061685428956818,7.053237473016853e-12,0.005437691786870555
s3x_ssp585_theta2,0.0014170950317762656,0.006391053961942876,0.004003555943514627,0.00016098605676831553,0.003380197405092474,0.013559272567495916,0.0023169386894277178,0.009997124605552786,0.004387898082521058,0.0004607886421295641,0.004330587655100418,0.014114682261238633,0.006966753896611281,-8.595604657856027e-12
