,human_modification,transboundary_connectivity,climate_corridors,climate_type_macrorefugia,irrecoverable_carbon_biomass,irrecoverable_carbon_m_soc,aoh_richness_mammals,aoh_richness_birds,EFG_mean
s0_ssp585_theta5,0.4631641047790731,0.513817018410824,0.4790097095543949,0.5568066768596697,0.3862098360272474,0.7552032966633108,0.4422504438244191,0.420163117969964,0.6985962975880824
s1_ssp585_theta5,0.4687991457856864,0.529317124694459,0.4791291456132417,0.5741662042313025,0.3792710602955425,0.7725108722697748,0.4427761540854882,0.42026672200097365,0.6579809087322789
s2_ssp585_theta5,0.46328715166109724,0.5256788383349495,0.48143946293278017,0.5540750321535234,0.3757374235741001,0.7580347885798051,0.4410163184756548,0.4180614784250887,0.6960621503011927
s3_ssp585_theta5,0.4604145079907319,0.4902813397172008,0.4773404026766876,0.5468806020548443,0.38507972608501445,0.751567595693202,0.44270357703864194,0.42021189019568894,0.7147826400507638
s4_ssp585_theta2,0.4642385515307516,0.5091254238573346,0.47867769927249576,0.5553894760676347,0.40525023372426294,0.772022548953839,0.4425600007068373,0.4200429609411325,0.691957662768356
s5_ssp585_theta5,0.4779278413548818,0.5528675339737575,0.47869465978579095,0.5779958044930416,0.39947771115856334,0.761487691972151,0.44656562258799654,0.4244630547434241,0.5928052453725462
s0_ssp245_theta5,0.46290513456614624,0.5108855437839243,0.47919066022066104,0.5525080762595441,0.38943376490347753,0.7532769198650501,0.44290363724603554,0.41973658268680575,0.6956893992435079
s1_ssp245_theta5,0.4674336020924616,0.5230806690827848,0.47899095398882796,0.5666805552337265,0.3812777031364518,0.7620208231086798,0.4437168157230914,0.4204595939845224,0.6535924973432592
s2_ssp245_theta5,0.46316651338327186,0.5239340141619623,0.4815884491528302,0.5520571939682282,0.3774690706120432,0.7567875540273625,0.44139971461442973,0.4178310666071941,0.6958835828197999
s3_ssp245_theta5,0.4603289642533701,0.48819984103538194,0.47765910100433046,0.5445709175255806,0.387212761685835,0.7509485393223337,0.4430633067490974,0.4198852640779552,0.7135489149554746
s4_ssp245_theta2,0.46382185055083963,0.5039250995160081,0.47887274989928663,0.5495834281229739,0.41094318515037564,0.7720041934709312,0.44319362988104305,0.4194285786916215,0.6901638766668655
s5_ssp245_theta5,0.4780623714395957,0.5514918989930095,0.47889795542283536,0.5718948383357413,0.4070971649729425,0.7561104361185981,0.44739331647442165,0.4241736728707894,0.589330624496288
s1x_ssp585_theta2,0.46880613184033676,0.5293467778498553,0.4791297059351818,0.5741831678730204,0.37925812001475556,0.772510049231566,0.4427793096092641,0.4202705646611823,0.6579175360087435
s3x_ssp585_theta2,0.46038282817822024,0.4895862556914478,0.4773528598084452,0.5472608729430597,0.38359823981759134,0.7605690343311732,0.44251361450733123,0.42008123974859546,0.7149949314420755
