threshold,tier_km2,n_components,n_kept,kept_km2,largest_km2,act,key
0.6,1585,89,10,1652.0,782.0,core,ensemble
0.7,1117,65,6,1073.0,412.0,core,ensemble
0.8,882,59,5,766.0,412.0,core,ensemble
0.6,2041,96,9,1320.0,1122.0,scenario,s1@585
0.7,1544,79,6,821.0,619.0,scenario,s1@585
0.8,1137,65,2,322.0,284.0,scenario,s1@585
0.6,2292,105,11,1701.0,891.0,scenario,s1@245
0.7,1560,92,11,821.0,417.0,scenario,s1@245
0.8,1056,78,4,193.0,86.0,scenario,s1@245
0.6,2290,126,9,1522.0,1176.0,scenario,s2
0.7,1723,87,6,1011.0,900.0,scenario,s2
0.8,1331,75,3,501.0,456.0,scenario,s2
0.6,1596,118,5,850.0,627.0,scenario,s3
0.7,1130,70,1,324.0,324.0,scenario,s3
0.8,892,65,0,0.0,0.0,scenario,s3
0.6,2455,111,10,2128.0,794.0,scenario,s4
0.7,1427,125,10,573.0,341.0,scenario,s4
0.8,926,80,0,0.0,0.0,scenario,s4
