formulation,anchor_z,drift,m_disc,D_5_plain,freq_km2_5_plain,dup_5_plain,min_5_plain,D_5_guard,freq_km2_5_guard,dup_5_guard,min_5_guard,D_2_plain,freq_km2_2_plain,dup_2_plain,min_2_plain,D_2_guard,freq_km2_2_guard,dup_2_guard,min_2_guard
s0_ssp585_theta5,4.4609139906,3.1362741959e-06,10083,0.9999008178710938,2,0,1.0610999999999993,0.9999008178710938,2,0,1.5094833333333357,0.8621442317962646,1488,0,1.1415333333333328,0.8620450496673584,1488,0,2.124116666666667
s1_ssp585_theta5,4.331262564,8.6431259116e-06,10083,0.9994049668312073,83,0,1.4347833333333286,0.9994049668312073,83,0,2.5471166666666667,0.8602598309516907,1544,0,1.4091500000000006,0.8602598309516907,1544,0,2.0170999999999935
s2_ssp585_theta5,4.4501732846,6.0031887287e-06,10083,0.9976197481155396,82,0,1.311666666666665,0.9977189302444458,82,0,1.9407833333333284,0.8356639742851257,1774,0,1.2480833333333345,0.8356639742851257,1774,0,1.9183666666666719
s3_ssp585_theta5,4.6297728366,5.8670793363e-06,10083,1.0,0,0,1.206466666666669,1.0,0,0,1.5865666666666627,0.8864425420761108,1184,0,1.3096666666666767,0.8864425420761108,1184,0,2.038883333333338
s4_ssp585_theta2,4.2883271824,6.338725252e-06,10083,0.998214840888977,82,0,1.4226499999999986,0.9984131455421448,82,0,1.8959333333333315,0.855598509311676,1491,0,1.5153499999999933,0.855598509311676,1491,0,2.118233333333323
s5_ssp585_theta5,9.1990575474,4.6148645338e-06,10083,1.0,0,2,0.6917666666666643,1.0,5,0,1.7483833333333374,1.0,86,0,1.3951333333333575,1.0,86,0,1.9158166666666607
s0_ssp245_theta5,4.4521587335,9.2687830813e-06,10083,0.9999008178710938,3,0,1.1609166666666548,0.9999008178710938,3,0,1.669950000000017,0.8689873814582825,1365,0,1.5295666666666416,0.8689873814582825,1365,0,2.0575500000000293
s1_ssp245_theta5,4.3011192854,4.483830978e-06,10083,0.9958345890045166,83,0,1.4239166666666734,0.9958345890045166,83,0,1.731750000000011,0.8512347340583801,1560,0,1.1717500000000125,0.8512347340583801,1560,0,1.787649999999978
s2_ssp245_theta5,4.4454234815,5.2821954284e-06,10083,0.9979172945022583,82,0,1.376333333333347,0.997818112373352,82,0,1.761633333333346,0.8411186933517456,1725,0,1.441450000000009,0.8408212065696716,1725,0,2.1744500000000095
s3_ssp245_theta5,4.6271942138,1.2504688502e-06,10083,1.0,0,0,1.1094999999999948,1.0,0,0,1.5678833333333089,0.8882277011871338,1129,0,1.1674166666666603,0.8882277011871338,1129,0,1.7477166666665354
s4_ssp245_theta2,4.2779326448,7.6310267936e-06,10083,0.9969255328178406,82,0,1.3709999999999885,0.9969255328178406,82,0,1.7371833333333295,0.8595656156539917,1418,0,1.333316666666633,0.8595656156539917,1418,0,1.9071666666666407
s5_ssp245_theta5,9.1893242665,2.6407354456e-06,10083,1.0,0,2,0.5712333333333088,1.0,5,0,1.5760166666666764,1.0,86,0,1.308116666666668,1.0,86,0,1.7826666666666224
s1x_ssp585_theta2,4.331943442,1.002840107e-05,10083,0.9995040893554688,84,0,1.3367333333334654,0.9995040893554688,84,0,1.6986666666666677,0.8605573773384094,1538,0,1.3060833333333453,0.8607557415962219,1538,0,1.87841666666662
s3x_ssp585_theta2,4.6325656746,7.4095410099e-06,10083,1.0,0,0,1.1321666666666264,1.0,0,0,1.6163499999999662,0.8859466314315796,1186,0,1.2610999999999122,0.8859466314315796,1186,0,1.8140333333333274
