feature,cap_max,banked_capture
T6.1.web.map_v1.0,1.0,0.9798
S1.1.web.orig_v1.0,1.0,0.9618
SF1.1.web.orig_v1.0,1.0,0.9618
T6.2.web.alt_v2.0,1.0,0.9158
T6.3.web.map_v1.0,1.0,0.781
F2.9.web.mix_v1.0,1.0,0.7311
F3.5.web.orig_v1.0,1.0,0.6772
T6.4.web.orig_v1.0,0.576,0.6234
F2.4.web.mix_v1.0,0.848,0.447
F3.1.web.orig_v1.0,1.0,0.4238
F1.3.web.map_v1.0,1.0,0.3284
F3.2.web.orig_v1.0,0.611,0.3101
SF2.1.web.orig_v1.0,0.613,0.309
T2.1.web.mix_v1.0,0.369,0.2857
T7.4.web.orig_v1.0,1.0,0.0773
SF1.2.web.orig_v1.0,0.551,0.0669
T7.2.web.map_v1.0,1.0,0.0468
T4.4.web.orig_v1.0,1.0,0.0255
T7.3.web.alt_v2.0,1.0,0.0224
T7.1.web.alt_v2.0,1.0,0.0148
T7.5.web.mix_v1.0,0.659,0.008
T2.2.web.mix_v1.0,1.0,0.0048
T5.1.web.mix_v1.0,1.0,0.0011
F2.10.web.mix_v2.0,1.0,0.0
SF2.2.web.orig_v1.0,1.0,0.0
TF1.6.web.orig_v1.0,1.0,0.0
TF1.7.web.orig_v1.0,1.0,0.0
