number,name,act,n_components,driving_label,driving,area_km2,mean_guarded_F,min_guarded_F,pct_core habitat,pct_connectivity,pct_biodiversity,pct_carbon,pct_representativeness,pct_intactness,efg_classes_present,driver_m_soc theta-tail,driver_connectivity spike (top 0.2%),driver_refugia densest (area-matched to the m_soc tail),driver_rare-attainable EFG footprint,driver_rarest-EFG footprint (<= 1% of PU each),mean_lat,pct_within_5km_of_PA,pct_in_NFZ,pct_in_SRP_area,pct_private_ranchland,pct_crown,n_formulations_frequent
1,NE of Whitehorse Wildland (53.4°N 116.8°W),Act 1,1,all formulations,all formulations,412.0,0.9012905955314636,0.009803921915590763,0.36617961525917053,0.32450956106185913,0.7390750646591187,0.5658743977546692,0.6031137108802795,0.2796202003955841,8,0.0,0.0,0.0,99.51456310679612,99.27184466019418,53.39350128173828,0.0,0.0,0.0,0.0,100.0,10
2,S of Oh Ranch (50.3°N 114.2°W),Act 1,1,all formulations,all formulations,275.0,0.7105288505554199,0.48366013169288635,0.6672002673149109,0.8027563691139221,0.22694022953510284,0.13983401656150818,0.9950401782989502,0.3016844689846039,13,0.0,0.0,0.0,100.0,0.0,50.306434631347656,6.545454545454546,0.0,0.0,57.45454545454546,42.18181818181818,10
3,SE of Black Creek Wildland Park (49.7°N 113.6°W),Act 1,1,all formulations,all formulations,214.0,0.9062137603759766,0.23202615976333618,0.0681442990899086,0.4289509654045105,0.09231602400541306,0.21375446021556854,0.9416632056236267,0.08330602198839188,12,0.0,0.0,0.0,100.0,99.06542056074767,49.66654586791992,0.0,0.0,0.0,69.1588785046729,4.205607476635514,10
4,E of Black Creek Wildland Park (50.0°N 113.7°W),Act 1,1,all formulations,all formulations,96.0,0.8820295333862305,0.02450980432331562,0.07863716781139374,0.3113354444503784,0.16308240592479706,0.15511544048786163,0.9830362200737,0.02674427069723606,11,0.0,0.0,0.0,100.0,97.91666666666666,50.03023147583008,0.0,0.0,0.0,46.875,5.208333333333334,10
5,S of Don Getty Wildland (50.0°N 114.7°W),Act 1,1,all formulations,all formulations,29.0,0.9509241580963135,0.2647058963775635,0.9580091238021851,0.4774128794670105,0.27764439582824707,0.805985689163208,0.7105549573898315,0.6656824350357056,9,31.03448275862069,0.0,0.0,96.55172413793103,93.10344827586206,49.95145797729492,0.0,0.0,0.0,0.0,100.0,12
6,NW of Castle Provincial Park (49.6°N 114.7°W),Act 1,1,all formulations,all formulations,15.0,0.8920478820800781,0.17156864702701569,0.9158925414085388,0.5461999177932739,0.9281952977180481,0.5816826224327087,0.862049400806427,0.17518121004104614,9,0.0,0.0,0.0,93.33333333333333,86.66666666666667,49.598941802978516,100.0,0.0,0.0,0.0,100.0,12
245-1,NE of Whitehorse Wildland (53.4°N 116.8°W),Act 1 (245),1,all formulations,all formulations,412.0,0.9012905955314636,0.009803921915590763,0.36617961525917053,0.32450956106185913,0.7390750646591187,0.5658743977546692,0.6031137108802795,0.2796202003955841,8,0.0,0.0,0.0,99.51456310679612,99.27184466019418,53.39350128173828,0.0,0.0,0.0,0.0,100.0,10
245-2,S of Oh Ranch (50.3°N 114.2°W),Act 1 (245),1,all formulations,all formulations,233.0,0.7182459831237793,0.48366013169288635,0.6648775935173035,0.8070886731147766,0.22862125933170319,0.13679473102092743,0.9961649179458618,0.2974057197570801,13,0.0,0.0,0.0,100.0,0.0,50.309532165527344,7.296137339055794,0.0,0.0,58.798283261802574,40.772532188841204,10
245-3,SE of Black Creek Wildland Park (49.7°N 113.6°W),Act 1 (245),1,all formulations,all formulations,214.0,0.9062137603759766,0.23202615976333618,0.0681442990899086,0.4289509654045105,0.09231602400541306,0.21375446021556854,0.9416632056236267,0.08330602198839188,12,0.0,0.0,0.0,100.0,99.06542056074767,49.66654586791992,0.0,0.0,0.0,69.1588785046729,4.205607476635514,10
245-4,E of Black Creek Wildland Park (50.0°N 113.7°W),Act 1 (245),1,all formulations,all formulations,96.0,0.8820295333862305,0.02450980432331562,0.07863716781139374,0.3113354444503784,0.16308240592479706,0.15511544048786163,0.9830362200737,0.02674427069723606,11,0.0,0.0,0.0,100.0,97.91666666666666,50.03023147583008,0.0,0.0,0.0,46.875,5.208333333333334,10
245-5,S of Don Getty Wildland (50.0°N 114.7°W),Act 1 (245),1,all formulations,all formulations,29.0,0.9509241580963135,0.2647058963775635,0.9580091238021851,0.4774128794670105,0.27764439582824707,0.805985689163208,0.7105549573898315,0.6656824350357056,9,31.03448275862069,0.0,0.0,96.55172413793103,93.10344827586206,49.95145797729492,0.0,0.0,0.0,0.0,100.0,12
