formulation,scenario,climate,value_statement,capture_core_habitat,capture_connectivity,capture_carbon,capture_biodiversity,tail_m_soc,tail_biomass,anchor_mean_lat,frequent_km2_guarded,frequent_km2_unguarded,D_unguarded,D_guarded
s0_ssp585_theta5,Balanced,ssp585,all four value themes hold their intended influence shares,0.5568066768596697,0.49641336398260943,0.570706566345279,0.43120678089719156,0.8500223151645391,0.976789081190047,52.58961868286133,1488,1488,0.8621442317962646,0.8620450496673584
s1_ssp585_theta5,Core-habitat-forward,ssp585,climate macrorefugia (core habitat) carries a doubled influence share,0.5741662042313025,0.5042231351538504,0.5758909662826586,0.4315214380432309,0.8683551468607846,0.976789081190047,52.33125686645508,1544,1544,0.8602598309516907,0.8602598309516907
s2_ssp585_theta5,Connectivity-forward,ssp585,connectivity (transboundary current + climate corridors) carries a doubled share,0.5540750321535234,0.5035591506338648,0.5668861060769526,0.42953889845037174,0.8537081242662169,0.976789081190047,52.45436096191406,1774,1774,0.8356639742851257,0.8356639742851257
s3_ssp585_theta5,Biodiversity-forward,ssp585,AOH richness (birds + mammals) carries a doubled share,0.5468806020548443,0.4838108711969442,0.5683236608891082,0.4314577336171654,0.8490902452900699,0.976789081190047,52.69830322265625,1184,1184,0.8864425420761108,0.8864425420761108
s4_ssp585_theta2,Carbon-forward,ssp585,carbon carries a doubled share and the mineral-soil target rises 0.332 -> 0.552 (theta 3x),0.5553894760676347,0.49390156156491516,0.588636391339051,0.4313014808239849,0.877182592595344,1.0,52.80095291137695,1491,1491,0.855598509311676,0.855598509311676
s5_ssp585_theta5,Intactness push (S0 + gHM x10),ssp585,S0 with the (inexpressible) intactness layer pushed x10 -- the Claim-B demonstration,0.5779958044930416,0.5157810968797742,0.5804827015653572,0.4355143386657103,0.8595270262557024,0.8599335023600414,52.56565475463867,86,86,1.0,1.0
s0_ssp245_theta5,Balanced,ssp245,all four value themes hold their intended influence shares,0.5525080762595441,0.4950381020022926,0.5713553423842638,0.43132010996642056,0.8494712569160805,0.976789081190047,52.64287185668945,1365,1365,0.8689873814582825,0.8689873814582825
s1_ssp245_theta5,Core-habitat-forward,ssp245,climate macrorefugia (core habitat) carries a doubled influence share,0.5666805552337265,0.5010358115358063,0.5716492631225658,0.4320882048538069,0.8609519674621442,0.976789081190047,52.326026916503906,1560,1560,0.8512347340583801,0.8512347340583801
s2_ssp245_theta5,Connectivity-forward,ssp245,connectivity (transboundary current + climate corridors) carries a doubled share,0.5520571939682282,0.5027612316573963,0.5671283123197028,0.4296153906108119,0.8526430766440447,0.976789081190047,52.51252746582031,1725,1725,0.8411186933517456,0.8408212065696716
s3_ssp245_theta5,Biodiversity-forward,ssp245,AOH richness (birds + mammals) carries a doubled share,0.5445709175255806,0.48292947101985617,0.5690806505040844,0.4314742854135263,0.8488999570635544,0.976789081190047,52.751625061035156,1129,1129,0.8882277011871338,0.8882277011871338
s4_ssp245_theta2,Carbon-forward,ssp245,carbon carries a doubled share and the mineral-soil target rises 0.332 -> 0.552 (theta 3x),0.5495834281229739,0.49139892470764734,0.5914736893106534,0.43131110428633224,0.8793110296665976,1.0,52.888328552246094,1418,1418,0.8595656156539917,0.8595656156539917
s5_ssp245_theta5,Intactness push (S0 + gHM x10),ssp245,S0 with the (inexpressible) intactness layer pushed x10 -- the Claim-B demonstration,0.5718948383357413,0.5151949272079224,0.5816038005457703,0.43578349467260546,0.8546901336861453,0.8599335023600414,52.701454162597656,86,86,1.0,1.0
