natural_region,subregion,PU km2,protected km2,core km2,scenario km2,opportunity km2,never km2,mean lat
Foothills,Lower Foothills,13528,52,408,82,12655,331,54.4573917388916
Grassland,Mixedgrass,434,0,323,0,111,0,49.79918670654297
Parkland,Foothills Parkland,1417,75,141,306,869,26,49.87409019470215
Rocky Mountain,Montane,8265,2396,67,216,5467,119,51.66728591918945
Rocky Mountain,Subalpine,25240,14160,47,110,10810,113,52.26448663075765
Grassland,Foothills Fescue,1909,0,30,41,1824,14,49.704402923583984
Rocky Mountain,Alpine,12712,10686,14,2,2010,0,52.13429527458507
Foothills,Upper Foothills,17970,492,1,0,17315,162,53.57818841934204
Boreal,Central Mixedwood,2610,0,0,155,2455,0,54.963924407958984
Boreal,Dry Mixedwood,844,0,0,7,826,11,53.444854736328125
