act,key,cid,cells,km2,meanF,minF,row,col,kept,lat,lon,name,complex,core_overlap_pct,residual_km2
Act 1,ensemble,13,412,412.0,0.9012905343422142,0.009803922,1862.7985436893205,888.8300970873786,True,53.39351332491338,-116.82089508643685,NE of Whitehorse Wildland (53.4°N 116.8°W),6,,
Act 1,ensemble,37,275,275.0,0.7105288302898407,0.48366013,2251.0072727272727,984.6981818181819,True,50.30645560772106,-114.18339706732988,S of Oh Ranch (50.3°N 114.2°W),3,,
Act 1,ensemble,60,214,214.0,0.9062137358656553,0.23202616,2331.892523364486,1007.7336448598131,True,49.66655260482715,-113.62690606861209,SE of Black Creek Wildland Park (49.7°N 113.6°W),1,,
Act 1,ensemble,52,96,96.0,0.8820295503246598,0.024509804,2289.21875,1011.90625,True,50.03023322736385,-113.6827058468733,E of Black Creek Wildland Park (50.0°N 113.7°W),2,,
Act 1,ensemble,51,29,29.0,0.9509240769106766,0.2647059,2285.655172413793,945.0,True,49.95145660782126,-114.65941635621174,S of Don Getty Wildland (50.0°N 114.7°W),4,,
Act 1,ensemble,62,15,15.0,0.8920479526122411,0.17156865,2325.4666666666667,932.9333333333333,True,49.598943789225714,-114.71857347024581,NW of Castle Provincial Park (49.6°N 114.7°W),5,,
Act 1,ensemble,55,9,9.0,0.9967320561408997,0.99673206,2311.0,941.4444444444445,False,49.73388270542637,-114.63788685398632,,-1,,
Act 1,ensemble,54,9,9.0,0.8970588379436069,0.8921569,2302.222222222222,1011.5555555555555,False,49.92083555922886,-113.65232368682238,,-1,,
Act 1,ensemble,59,7,7.0,0.8926237395831517,0.8872549,2313.0,1017.0,False,49.83918666200383,-113.5445057476552,,-1,,
Act 1,ensemble,61,6,6.0,0.9945533871650696,0.98366004,2320.5,937.5,False,49.64801121298217,-114.66732672592197,,-1,,
Act 1,ensemble,5,6,6.0,0.9229302505652109,0.9215686,1795.5,713.6666666666666,False,53.6059000370363,-119.74497766979184,,-1,,
Act 1,ensemble,58,6,6.0,0.9019607901573181,0.8888889,2312.5,1012.1666666666666,False,49.83578257355019,-113.61558288574604,,-1,,
Act 1,ensemble,6,5,5.0,0.9261437773704528,0.9215686,1798.8,703.8,False,53.55722306171295,-119.88252273290989,,-1,,
Act 1,ensemble,1,5,5.0,0.9248365759849548,0.9215686,1777.0,707.8,False,53.74778952923921,-119.90716759674307,,-1,,
Act 1,ensemble,20,5,5.0,0.7490196585655212,0.7173204,1999.4,882.4,False,52.23571868916368,-116.46051994354566,,-1,,
Act 1,ensemble,18,4,4.0,0.9967320561408997,0.99673206,1951.5,774.0,False,52.42849037170549,-118.24926957894533,,-1,,
Act 1,ensemble,41,4,4.0,0.9967320561408997,0.99673206,2250.0,946.5,False,50.251867561956054,-114.74078089239487,,-1,,
Act 1,ensemble,11,4,4.0,0.9379084706306458,0.9297385,1833.0,729.25,False,53.3258416430932,-119.36284849564291,,-1,,
Act 1,ensemble,49,4,4.0,0.6687091737985611,0.52287585,2273.75,978.5,False,50.106111305728106,-114.20919240418147,,-1,,
Act 1,ensemble,12,3,3.0,0.9297385811805725,0.9232026,1837.0,729.0,False,53.29192713069307,-119.35136657559461,,-1,,
Act 1,ensemble,3,3,3.0,0.9286492069562277,0.9264706,1789.0,714.6666666666666,False,53.66231028158619,-119.75510601874755,,-1,,
Act 1,ensemble,64,3,3.0,0.9117646813392639,0.9052288,2335.3333333333335,1014.3333333333334,False,49.648121857064844,-113.52273249942232,,-1,,
Act 1,ensemble,56,3,3.0,0.9030501047770182,0.89542484,2307.0,1012.0,False,49.88154895235521,-113.6329151301357,,-1,,
Act 1,ensemble,57,3,3.0,0.8954248428344727,0.8937909,2307.0,1017.0,False,49.88940757828946,-113.560726257891,,-1,,
Act 1,ensemble,53,3,3.0,0.8845315972963969,0.875817,2287.6666666666665,1014.3333333333334,False,50.047057862313174,-113.65180761061828,,-1,,
Act 1,ensemble,47,3,3.0,0.7630719145139059,0.69281054,2273.0,988.0,False,50.127781492500915,-114.07370886335941,,-1,,
Act 1,ensemble,44,3,3.0,0.7369281053543091,0.71078426,2267.3333333333335,980.3333333333334,False,50.16276481121419,-114.20070791354733,,-1,,
Act 1,ensemble,34,3,3.0,0.7086056669553121,0.70261437,2215.6666666666665,980.6666666666666,False,50.59567477965739,-114.34256010736414,,-1,,
Act 1,ensemble,46,2,2.0,0.9967320561408997,0.99673206,2269.5,946.0,False,50.088084352454466,-114.6915396953161,,-1,,
Act 1,ensemble,4,2,2.0,0.9281046092510223,0.92483664,1794.5,703.0,False,53.59138445773045,-119.9116001709472,,-1,,
Act 1,ensemble,2,2,2.0,0.9248366355895996,0.92483664,1785.5,713.5,False,53.68904244596154,-119.78662847308637,,-1,,
Act 1,ensemble,9,2,2.0,0.9215685725212097,0.9215686,1822.0,710.5,False,53.37798870172583,-119.69008160263743,,-1,,
Act 1,ensemble,10,2,2.0,0.9199345707893372,0.9199346,1824.5,712.5,False,53.36138730868326,-119.65000953593015,,-1,,
Act 1,ensemble,33,2,2.0,0.7197712659835815,0.7156863,2214.5,986.5,False,50.6149908599039,-114.26067622156833,,-1,,
