threshold,tier_km2,n_components,n_kept,kept_km2,largest_km2,act,key
0.6,1551,89,10,1614.0,750.0,Act 1,ensemble
0.7,1094,66,6,1041.0,412.0,Act 1,ensemble
0.8,880,58,5,766.0,412.0,Act 1,ensemble
0.6,1961,96,9,1311.0,1039.0,Act 2,s1
0.7,1426,83,7,667.0,467.0,Act 2,s1
0.8,1050,73,2,218.0,187.0,Act 2,s1
0.6,2290,126,9,1522.0,1176.0,Act 2,s2
0.7,1723,87,6,1011.0,900.0,Act 2,s2
0.8,1331,75,3,501.0,456.0,Act 2,s2
0.6,1596,118,5,850.0,627.0,Act 2,s3
0.7,1130,70,1,324.0,324.0,Act 2,s3
0.8,892,65,0,0.0,0.0,Act 2,s3
0.6,2455,111,10,2128.0,794.0,Act 2,s4
0.7,1427,125,10,573.0,341.0,Act 2,s4
0.8,926,80,0,0.0,0.0,Act 2,s4
0.6,1602,87,9,1675.0,818.0,Act 1 (585),ensemble_585
0.7,1126,67,6,1076.0,412.0,Act 1 (585),ensemble_585
0.8,886,59,6,776.0,412.0,Act 1 (585),ensemble_585
0.6,1503,99,12,1543.0,607.0,Act 1 (245),ensemble_245
0.7,1055,67,6,999.0,412.0,Act 1 (245),ensemble_245
0.8,878,57,5,766.0,412.0,Act 1 (245),ensemble_245
