number,act,key,cid,cids,n_components,name,km2,meanF,lat,lon
1,Act 1,ensemble,13,13,1,NE of Whitehorse Wildland (53.4°N 116.8°W),412.0,0.9012905343422142,53.39351332491338,-116.82089508643685
2,Act 1,ensemble,37,37,1,S of Oh Ranch (50.3°N 114.2°W),275.0,0.7105288302898407,50.30645560772106,-114.18339706732988
3,Act 1,ensemble,60,60,1,SE of Black Creek Wildland Park (49.7°N 113.6°W),214.0,0.9062137358656553,49.666552604827146,-113.6269060686121
4,Act 1,ensemble,52,52,1,E of Black Creek Wildland Park (50.0°N 113.7°W),96.0,0.8820295503246598,50.03023322736385,-113.6827058468733
5,Act 1,ensemble,51,51,1,S of Don Getty Wildland (50.0°N 114.7°W),29.0,0.9509240769106766,49.95145660782126,-114.65941635621174
6,Act 1,ensemble,62,62,1,NW of Castle Provincial Park (49.6°N 114.7°W),15.0,0.8920479526122411,49.598943789225714,-114.71857347024583
7,Act 2,s1,56,56;63;53;55,4,SE of Don Getty Wildland (50.3°N 114.2°W),367.0,0.7281308829950873,50.296116198194426,-114.20370447362993
8,Act 2,s1,30,30,1,SE of White Goat (52.1°N 116.7°W),51.0,0.8039215738123113,52.132917854098054,-116.73989455803196
9,Act 2,s2,55,55;57,2,S of Oh Ranch (50.3°N 114.2°W),741.0,0.786300690206031,50.3453412583299,-114.23110509983597
10,Act 2,s2,2,2,1,Upper Smoky SRP planning area vicinity (54.9°N 120.0°W),16.0,0.6893382519483566,54.88771331552726,-119.96369531048582
11,Act 2,s3,38,38,1,S of Oh Ranch (50.3°N 114.2°W),133.0,0.7170479453088324,50.299008820367625,-114.16642319892762
12,Act 2,s4,93,93,1,S of Oh Ranch (50.3°N 114.2°W),147.0,0.7220401536684232,50.30392646265722,-114.1831226008961
13,Act 2,s4,41,41;42;33;43;34,5,E of Upper Smoky SRP planning area (54.7°N 118.5°W),116.0,0.6992055596462612,54.70132444412144,-118.53396871210337
585-1,Act 1 (585),ensemble_585,13,13,1,NE of Whitehorse Wildland (53.4°N 116.8°W),412.0,0.9012548340172553,53.39351332491338,-116.82089508643685
585-2,Act 1 (585),ensemble_585,39,39,1,S of Oh Ranch (50.3°N 114.2°W),310.0,0.7162239203529973,50.303754665483176,-114.17730274043352
585-3,Act 1 (585),ensemble_585,61,61,1,SE of Black Creek Wildland Park (49.7°N 113.6°W),214.0,0.9056868849792213,49.666552604827146,-113.6269060686121
585-4,Act 1 (585),ensemble_585,53,53,1,E of Black Creek Wildland Park (50.0°N 113.7°W),96.0,0.8817401976363423,50.03023322736385,-113.6827058468733
585-5,Act 1 (585),ensemble_585,52,52,1,S of Don Getty Wildland (50.0°N 114.7°W),29.0,0.9445571061866037,49.95145660782126,-114.65941635621174
585-6,Act 1 (585),ensemble_585,63,63,1,NW of Castle Provincial Park (49.6°N 114.7°W),15.0,0.8934640298287074,49.598943789225714,-114.71857347024583
245-1,Act 1 (245),ensemble_245,13,13,1,NE of Whitehorse Wildland (53.4°N 116.8°W),412.0,0.9013262220807554,53.39351332491338,-116.82089508643685
245-2,Act 1 (245),ensemble_245,37,37,1,S of Oh Ranch (50.3°N 114.2°W),233.0,0.7043114895472711,50.30955415420527,-114.18124959784983
245-3,Act 1 (245),ensemble_245,61,61,1,SE of Black Creek Wildland Park (49.7°N 113.6°W),214.0,0.9067405783962981,49.666552604827146,-113.6269060686121
245-4,Act 1 (245),ensemble_245,53,53,1,E of Black Creek Wildland Park (50.0°N 113.7°W),96.0,0.8823188997533483,50.03023322736385,-113.6827058468733
245-5,Act 1 (245),ensemble_245,52,52,1,S of Don Getty Wildland (50.0°N 114.7°W),29.0,0.957290935105291,49.95145660782126,-114.65941635621174
245-6,Act 1 (245),ensemble_245,63,63,1,NW of Castle Provincial Park (49.6°N 114.7°W),15.0,0.8906317859888077,49.598943789225714,-114.71857347024583
