formulation_id,scenario_id,scenario_name,climate_level,carbon_regime,config,extent_id,mirror_spec_version,lock_rule,budget_semantics,budget_level,budget_cells,budget_pct,weight_vector,target_vector,influence_profile_intended,k_requested,band_gap_g,applied_band_g,floor_g,opt_gap,numeric_focus,dust_rule_version,estimator,verdict_rule,solver,seed_policy,input_layer_hashes,anchor_ref,twin_ref,mga_ref,pipeline_git_sha,pipeline_module_sha256,created_utc,frozen
s0_ssp585_theta5,s0,S0_balanced,ssp585_2071_2100,theta5_amount,ab_l,ab_y2y_v1,v0.14.1,"pa_mask (inherited, D-AB2)",locked + X*unlocked (D-AB5 v2),A,38055,0.4470064487331587,"{""climate_type_macrorefugia"": 1.037998, ""transboundary_connectivity"": 0.30626, ""climate_corridors"": 1.597804, ""irrecoverable_carbon_m_soc"": 0.219191, ""irrecoverable_carbon_biomass"": 0.1719, ""aoh_richness_birds"": 1.38582, ""aoh_richness_mammals"": 2.281027}","{""irrecoverable_carbon_m_soc"": 0.322}","{""climate_type_macrorefugia"": 0.25, ""transboundary_connectivity"": 0.125, ""climate_corridors"": 0.125, ""irrecoverable_carbon_m_soc"": 0.168657, ""irrecoverable_carbon_biomass"": 0.081342, ""aoh_richness_birds"": 0.125, ""aoh_richness_mammals"": 0.125}",50,0.05,0.02,0.05,0.0001,2,1e-9 / AB re-run 2026-09-03 (0 cells zeroed),mga_maxham_v1,v2_8db80fed1c702638,gurobi,deterministic (MGA warm-start chain; no RNG),"{""human_modification"": ""25412ff8ff9946d453faf85ccd681fad9a4b2f0cc93f419432a4da8fea6d3933"", ""transboundary_connectivity"": ""5b2abbebddd734d733eaa625c0e7690cb1bbbbd7de83a3cf5e76c99acbbd7033"", ""climate_corridors"": ""ecd96fe7f2659c81c0d8cd85ec18b6bade2dd0b4e6fa835823172eb50d2b1e56"", ""climate_type_macrorefugia"": ""73ae969dd3064a41a1e6a110e4050c39262477a6ac419a2bd157cfd51fc2909c"", ""irrecoverable_carbon_biomass"": ""33cf20e0b2adb115e7ad4d755490136930b138e998759c04cb87c92fddf470c8"", ""irrecoverable_carbon_m_soc"": ""b34186921d77bfc98b664d5bbf2ee896010c21bc4b049135358ef540cc5fb1a2"", ""aoh_richness_mammals"": ""b85a1511e118deb16539c165bef93be270c3c7042f03424900879bae0ec31849"", ""aoh_richness_birds"": ""6e9f8e8a8894af775297ba2f18b5b4a777047837ed2a086c7bf090010f39526b""}",analyses/alberta_prioritization/runs/ab_l/A/s0_ssp585_theta5/anchor,analyses/alberta_prioritization/runs/ab_l/A/s0_ssp585_theta5/twin,analyses/alberta_prioritization/runs/ab_l/A/s0_ssp585_theta5,832e76fc50c7f97b07849023e6f1753d1b3b9aee,"{""config.py"": ""d478c27a863b2477e1dd6c36a0e1fa1f742b62a37dd7caf9c358cc0c596e1dd6"", ""leverage_core.py"": ""bcbbe811f9ebdf26b9a5795e29825fa2e83cd539bbd6fb81e770c3e4f4937602"", ""ensemble_core.py"": ""aa138bb7cd5c0b886049937c477c125e6effcef58b63a87694e8ab911fe07cf0"", ""prioritizr_core.R"": ""2ce740e9d22f7f63b3b760c054e7455af38855a7ba12f638a66c2f2a8dba6f5f"", ""mga_core.R"": ""7a65f937e91d8a745da0b18d47884053be9cf062fb1c91b2473a11493655ec1f""}",2026-09-03T20:59:46.807229+00:00,True
s1_ssp585_theta5,s1,S1_core_habitat,ssp585_2071_2100,theta5_amount,ab_l,ab_y2y_v1,v0.14.1,"pa_mask (inherited, D-AB2)",locked + X*unlocked (D-AB5 v2),A,38055,0.4470064487331587,"{""climate_type_macrorefugia"": 2.401713, ""transboundary_connectivity"": 0.236208, ""climate_corridors"": 1.232331, ""irrecoverable_carbon_m_soc"": 0.169054, ""irrecoverable_carbon_biomass"": 0.13258, ""aoh_richness_birds"": 1.068836, ""aoh_richness_mammals"": 1.759278}","{""irrecoverable_carbon_m_soc"": 0.322}","{""climate_type_macrorefugia"": 0.5, ""transboundary_connectivity"": 0.083333, ""climate_corridors"": 0.083333, ""irrecoverable_carbon_m_soc"": 0.112438, ""irrecoverable_carbon_biomass"": 0.054228, ""aoh_richness_birds"": 0.083333, ""aoh_richness_mammals"": 0.083333}",50,0.05,0.02,0.05,0.0001,2,1e-9 / AB re-run 2026-09-03 (0 cells zeroed),mga_maxham_v1,v2_8db80fed1c702638,gurobi,deterministic (MGA warm-start chain; no RNG),"{""human_modification"": ""25412ff8ff9946d453faf85ccd681fad9a4b2f0cc93f419432a4da8fea6d3933"", ""transboundary_connectivity"": ""5b2abbebddd734d733eaa625c0e7690cb1bbbbd7de83a3cf5e76c99acbbd7033"", ""climate_corridors"": ""ecd96fe7f2659c81c0d8cd85ec18b6bade2dd0b4e6fa835823172eb50d2b1e56"", ""climate_type_macrorefugia"": ""73ae969dd3064a41a1e6a110e4050c39262477a6ac419a2bd157cfd51fc2909c"", ""irrecoverable_carbon_biomass"": ""33cf20e0b2adb115e7ad4d755490136930b138e998759c04cb87c92fddf470c8"", ""irrecoverable_carbon_m_soc"": ""b34186921d77bfc98b664d5bbf2ee896010c21bc4b049135358ef540cc5fb1a2"", ""aoh_richness_mammals"": ""b85a1511e118deb16539c165bef93be270c3c7042f03424900879bae0ec31849"", ""aoh_richness_birds"": ""6e9f8e8a8894af775297ba2f18b5b4a777047837ed2a086c7bf090010f39526b""}",,,,832e76fc50c7f97b07849023e6f1753d1b3b9aee,"{""config.py"": ""d478c27a863b2477e1dd6c36a0e1fa1f742b62a37dd7caf9c358cc0c596e1dd6"", ""leverage_core.py"": ""bcbbe811f9ebdf26b9a5795e29825fa2e83cd539bbd6fb81e770c3e4f4937602"", ""ensemble_core.py"": ""aa138bb7cd5c0b886049937c477c125e6effcef58b63a87694e8ab911fe07cf0"", ""prioritizr_core.R"": ""2ce740e9d22f7f63b3b760c054e7455af38855a7ba12f638a66c2f2a8dba6f5f"", ""mga_core.R"": ""7a65f937e91d8a745da0b18d47884053be9cf062fb1c91b2473a11493655ec1f""}",2026-09-03T20:59:46.807229+00:00,True
s2_ssp585_theta5,s2,S2_connectivity,ssp585_2071_2100,theta5_amount,ab_l,ab_y2y_v1,v0.14.1,"pa_mask (inherited, D-AB2)",locked + X*unlocked (D-AB5 v2),A,38055,0.4470064487331587,"{""climate_type_macrorefugia"": 0.672271, ""transboundary_connectivity"": 0.595057, ""climate_corridors"": 3.104501, ""irrecoverable_carbon_m_soc"": 0.141961, ""irrecoverable_carbon_biomass"": 0.111333, ""aoh_richness_birds"": 0.897542, ""aoh_richness_mammals"": 1.477333}","{""irrecoverable_carbon_m_soc"": 0.322}","{""climate_type_macrorefugia"": 0.166667, ""transboundary_connectivity"": 0.25, ""climate_corridors"": 0.25, ""irrecoverable_carbon_m_soc"": 0.112438, ""irrecoverable_carbon_biomass"": 0.054228, ""aoh_richness_birds"": 0.083333, ""aoh_richness_mammals"": 0.083333}",50,0.05,0.02,0.05,0.0001,2,1e-9 / AB re-run 2026-09-03 (0 cells zeroed),mga_maxham_v1,v2_8db80fed1c702638,gurobi,deterministic (MGA warm-start chain; no RNG),"{""human_modification"": ""25412ff8ff9946d453faf85ccd681fad9a4b2f0cc93f419432a4da8fea6d3933"", ""transboundary_connectivity"": ""5b2abbebddd734d733eaa625c0e7690cb1bbbbd7de83a3cf5e76c99acbbd7033"", ""climate_corridors"": ""ecd96fe7f2659c81c0d8cd85ec18b6bade2dd0b4e6fa835823172eb50d2b1e56"", ""climate_type_macrorefugia"": ""73ae969dd3064a41a1e6a110e4050c39262477a6ac419a2bd157cfd51fc2909c"", ""irrecoverable_carbon_biomass"": ""33cf20e0b2adb115e7ad4d755490136930b138e998759c04cb87c92fddf470c8"", ""irrecoverable_carbon_m_soc"": ""b34186921d77bfc98b664d5bbf2ee896010c21bc4b049135358ef540cc5fb1a2"", ""aoh_richness_mammals"": ""b85a1511e118deb16539c165bef93be270c3c7042f03424900879bae0ec31849"", ""aoh_richness_birds"": ""6e9f8e8a8894af775297ba2f18b5b4a777047837ed2a086c7bf090010f39526b""}",,,,832e76fc50c7f97b07849023e6f1753d1b3b9aee,"{""config.py"": ""d478c27a863b2477e1dd6c36a0e1fa1f742b62a37dd7caf9c358cc0c596e1dd6"", ""leverage_core.py"": ""bcbbe811f9ebdf26b9a5795e29825fa2e83cd539bbd6fb81e770c3e4f4937602"", ""ensemble_core.py"": ""aa138bb7cd5c0b886049937c477c125e6effcef58b63a87694e8ab911fe07cf0"", ""prioritizr_core.R"": ""2ce740e9d22f7f63b3b760c054e7455af38855a7ba12f638a66c2f2a8dba6f5f"", ""mga_core.R"": ""7a65f937e91d8a745da0b18d47884053be9cf062fb1c91b2473a11493655ec1f""}",2026-09-03T20:59:46.807229+00:00,True
s3_ssp585_theta5,s3,S3_biodiversity,ssp585_2071_2100,theta5_amount,ab_l,ab_y2y_v1,v0.14.1,"pa_mask (inherited, D-AB2)",locked + X*unlocked (D-AB5 v2),A,38055,0.4470064487331587,"{""climate_type_macrorefugia"": 0.506917, ""transboundary_connectivity"": 0.149565, ""climate_corridors"": 0.780304, ""irrecoverable_carbon_m_soc"": 0.107044, ""irrecoverable_carbon_biomass"": 0.083949, ""aoh_richness_birds"": 2.030336, ""aoh_richness_mammals"": 3.341884}","{""irrecoverable_carbon_m_soc"": 0.322}","{""climate_type_macrorefugia"": 0.166667, ""transboundary_connectivity"": 0.083333, ""climate_corridors"": 0.083333, ""irrecoverable_carbon_m_soc"": 0.112438, ""irrecoverable_carbon_biomass"": 0.054228, ""aoh_richness_birds"": 0.25, ""aoh_richness_mammals"": 0.25}",50,0.05,0.02,0.05,0.0001,2,1e-9 / AB re-run 2026-09-03 (0 cells zeroed),mga_maxham_v1,v2_8db80fed1c702638,gurobi,deterministic (MGA warm-start chain; no RNG),"{""human_modification"": ""25412ff8ff9946d453faf85ccd681fad9a4b2f0cc93f419432a4da8fea6d3933"", ""transboundary_connectivity"": ""5b2abbebddd734d733eaa625c0e7690cb1bbbbd7de83a3cf5e76c99acbbd7033"", ""climate_corridors"": ""ecd96fe7f2659c81c0d8cd85ec18b6bade2dd0b4e6fa835823172eb50d2b1e56"", ""climate_type_macrorefugia"": ""73ae969dd3064a41a1e6a110e4050c39262477a6ac419a2bd157cfd51fc2909c"", ""irrecoverable_carbon_biomass"": ""33cf20e0b2adb115e7ad4d755490136930b138e998759c04cb87c92fddf470c8"", ""irrecoverable_carbon_m_soc"": ""b34186921d77bfc98b664d5bbf2ee896010c21bc4b049135358ef540cc5fb1a2"", ""aoh_richness_mammals"": ""b85a1511e118deb16539c165bef93be270c3c7042f03424900879bae0ec31849"", ""aoh_richness_birds"": ""6e9f8e8a8894af775297ba2f18b5b4a777047837ed2a086c7bf090010f39526b""}",,,,832e76fc50c7f97b07849023e6f1753d1b3b9aee,"{""config.py"": ""d478c27a863b2477e1dd6c36a0e1fa1f742b62a37dd7caf9c358cc0c596e1dd6"", ""leverage_core.py"": ""bcbbe811f9ebdf26b9a5795e29825fa2e83cd539bbd6fb81e770c3e4f4937602"", ""ensemble_core.py"": ""aa138bb7cd5c0b886049937c477c125e6effcef58b63a87694e8ab911fe07cf0"", ""prioritizr_core.R"": ""2ce740e9d22f7f63b3b760c054e7455af38855a7ba12f638a66c2f2a8dba6f5f"", ""mga_core.R"": ""7a65f937e91d8a745da0b18d47884053be9cf062fb1c91b2473a11493655ec1f""}",2026-09-03T20:59:46.807229+00:00,True
s4_ssp585_theta2,s4,S4_carbon,ssp585_2071_2100,theta2_places,ab_l,ab_y2y_v1,v0.14.1,"pa_mask (inherited, D-AB2)",locked + X*unlocked (D-AB5 v2),A,38055,0.4470064487331587,"{""climate_type_macrorefugia"": 0.934314, ""transboundary_connectivity"": 0.275668, ""climate_corridors"": 1.438202, ""irrecoverable_carbon_m_soc"": 0.587058, ""irrecoverable_carbon_biomass"": 0.464185, ""aoh_richness_birds"": 1.247393, ""aoh_richness_mammals"": 2.053179}","{""irrecoverable_carbon_m_soc"": 0.772}","{""climate_type_macrorefugia"": 0.166667, ""transboundary_connectivity"": 0.083333, ""climate_corridors"": 0.083333, ""irrecoverable_carbon_m_soc"": 0.337315, ""irrecoverable_carbon_biomass"": 0.162685, ""aoh_richness_birds"": 0.083333, ""aoh_richness_mammals"": 0.083333}",50,0.05,0.02,0.05,0.0001,2,1e-9 / AB re-run 2026-09-03 (0 cells zeroed),mga_maxham_v1,v2_8db80fed1c702638,gurobi,deterministic (MGA warm-start chain; no RNG),"{""human_modification"": ""25412ff8ff9946d453faf85ccd681fad9a4b2f0cc93f419432a4da8fea6d3933"", ""transboundary_connectivity"": ""5b2abbebddd734d733eaa625c0e7690cb1bbbbd7de83a3cf5e76c99acbbd7033"", ""climate_corridors"": ""ecd96fe7f2659c81c0d8cd85ec18b6bade2dd0b4e6fa835823172eb50d2b1e56"", ""climate_type_macrorefugia"": ""73ae969dd3064a41a1e6a110e4050c39262477a6ac419a2bd157cfd51fc2909c"", ""irrecoverable_carbon_biomass"": ""33cf20e0b2adb115e7ad4d755490136930b138e998759c04cb87c92fddf470c8"", ""irrecoverable_carbon_m_soc"": ""b34186921d77bfc98b664d5bbf2ee896010c21bc4b049135358ef540cc5fb1a2"", ""aoh_richness_mammals"": ""b85a1511e118deb16539c165bef93be270c3c7042f03424900879bae0ec31849"", ""aoh_richness_birds"": ""6e9f8e8a8894af775297ba2f18b5b4a777047837ed2a086c7bf090010f39526b""}",,,,832e76fc50c7f97b07849023e6f1753d1b3b9aee,"{""config.py"": ""d478c27a863b2477e1dd6c36a0e1fa1f742b62a37dd7caf9c358cc0c596e1dd6"", ""leverage_core.py"": ""bcbbe811f9ebdf26b9a5795e29825fa2e83cd539bbd6fb81e770c3e4f4937602"", ""ensemble_core.py"": ""aa138bb7cd5c0b886049937c477c125e6effcef58b63a87694e8ab911fe07cf0"", ""prioritizr_core.R"": ""2ce740e9d22f7f63b3b760c054e7455af38855a7ba12f638a66c2f2a8dba6f5f"", ""mga_core.R"": ""7a65f937e91d8a745da0b18d47884053be9cf062fb1c91b2473a11493655ec1f""}",2026-09-03T20:59:46.807229+00:00,True
s5_ssp585_theta5,s5,S5_intactness,ssp585_2071_2100,theta5_amount,ab_l,ab_y2y_v1,v0.14.1,"pa_mask (inherited, D-AB2)",locked + X*unlocked (D-AB5 v2),A,38055,0.4470064487331587,"{""climate_type_macrorefugia"": 1.037998, ""transboundary_connectivity"": 0.30626, ""climate_corridors"": 1.597804, ""irrecoverable_carbon_m_soc"": 0.219191, ""irrecoverable_carbon_biomass"": 0.1719, ""aoh_richness_birds"": 1.38582, ""aoh_richness_mammals"": 2.281027, ""human_modification"": 10.0}","{""irrecoverable_carbon_m_soc"": 0.322}","{""climate_type_macrorefugia"": 0.25, ""transboundary_connectivity"": 0.125, ""climate_corridors"": 0.125, ""irrecoverable_carbon_m_soc"": 0.168657, ""irrecoverable_carbon_biomass"": 0.081342, ""aoh_richness_birds"": 0.125, ""aoh_richness_mammals"": 0.125}",50,0.05,0.02,0.05,0.0001,2,1e-9 / AB re-run 2026-09-03 (0 cells zeroed),mga_maxham_v1,v2_8db80fed1c702638,gurobi,deterministic (MGA warm-start chain; no RNG),"{""human_modification"": ""25412ff8ff9946d453faf85ccd681fad9a4b2f0cc93f419432a4da8fea6d3933"", ""transboundary_connectivity"": ""5b2abbebddd734d733eaa625c0e7690cb1bbbbd7de83a3cf5e76c99acbbd7033"", ""climate_corridors"": ""ecd96fe7f2659c81c0d8cd85ec18b6bade2dd0b4e6fa835823172eb50d2b1e56"", ""climate_type_macrorefugia"": ""73ae969dd3064a41a1e6a110e4050c39262477a6ac419a2bd157cfd51fc2909c"", ""irrecoverable_carbon_biomass"": ""33cf20e0b2adb115e7ad4d755490136930b138e998759c04cb87c92fddf470c8"", ""irrecoverable_carbon_m_soc"": ""b34186921d77bfc98b664d5bbf2ee896010c21bc4b049135358ef540cc5fb1a2"", ""aoh_richness_mammals"": ""b85a1511e118deb16539c165bef93be270c3c7042f03424900879bae0ec31849"", ""aoh_richness_birds"": ""6e9f8e8a8894af775297ba2f18b5b4a777047837ed2a086c7bf090010f39526b""}",,,,832e76fc50c7f97b07849023e6f1753d1b3b9aee,"{""config.py"": ""d478c27a863b2477e1dd6c36a0e1fa1f742b62a37dd7caf9c358cc0c596e1dd6"", ""leverage_core.py"": ""bcbbe811f9ebdf26b9a5795e29825fa2e83cd539bbd6fb81e770c3e4f4937602"", ""ensemble_core.py"": ""aa138bb7cd5c0b886049937c477c125e6effcef58b63a87694e8ab911fe07cf0"", ""prioritizr_core.R"": ""2ce740e9d22f7f63b3b760c054e7455af38855a7ba12f638a66c2f2a8dba6f5f"", ""mga_core.R"": ""7a65f937e91d8a745da0b18d47884053be9cf062fb1c91b2473a11493655ec1f""}",2026-09-03T20:59:46.807229+00:00,True
s0_ssp245_theta5,s0,S0_balanced,ssp245_2071_2100,theta5_amount,ab_l,ab_y2y_v1,v0.14.1,"pa_mask (inherited, D-AB2)",locked + X*unlocked (D-AB5 v2),A,38055,0.4470064487331587,"{""climate_type_macrorefugia"": 0.9539, ""transboundary_connectivity"": 0.31058, ""climate_corridors"": 1.620342, ""irrecoverable_carbon_m_soc"": 0.222282, ""irrecoverable_carbon_biomass"": 0.174324, ""aoh_richness_birds"": 1.405368, ""aoh_richness_mammals"": 2.313203}","{""irrecoverable_carbon_m_soc"": 0.322}","{""climate_type_macrorefugia"": 0.25, ""transboundary_connectivity"": 0.125, ""climate_corridors"": 0.125, ""irrecoverable_carbon_m_soc"": 0.168657, ""irrecoverable_carbon_biomass"": 0.081342, ""aoh_richness_birds"": 0.125, ""aoh_richness_mammals"": 0.125}",50,0.05,0.02,0.05,0.0001,2,1e-9 / AB re-run 2026-09-03 (0 cells zeroed),mga_maxham_v1,v2_8db80fed1c702638,gurobi,deterministic (MGA warm-start chain; no RNG),"{""human_modification"": ""25412ff8ff9946d453faf85ccd681fad9a4b2f0cc93f419432a4da8fea6d3933"", ""transboundary_connectivity"": ""5b2abbebddd734d733eaa625c0e7690cb1bbbbd7de83a3cf5e76c99acbbd7033"", ""climate_corridors"": ""ecd96fe7f2659c81c0d8cd85ec18b6bade2dd0b4e6fa835823172eb50d2b1e56"", ""climate_type_macrorefugia"": ""bb11ad50dc3107e3b7efac1d3857bf1197ac644756f935d578408a7cf476f3c2"", ""irrecoverable_carbon_biomass"": ""33cf20e0b2adb115e7ad4d755490136930b138e998759c04cb87c92fddf470c8"", ""irrecoverable_carbon_m_soc"": ""b34186921d77bfc98b664d5bbf2ee896010c21bc4b049135358ef540cc5fb1a2"", ""aoh_richness_mammals"": ""b85a1511e118deb16539c165bef93be270c3c7042f03424900879bae0ec31849"", ""aoh_richness_birds"": ""6e9f8e8a8894af775297ba2f18b5b4a777047837ed2a086c7bf090010f39526b""}",,,,832e76fc50c7f97b07849023e6f1753d1b3b9aee,"{""config.py"": ""d478c27a863b2477e1dd6c36a0e1fa1f742b62a37dd7caf9c358cc0c596e1dd6"", ""leverage_core.py"": ""bcbbe811f9ebdf26b9a5795e29825fa2e83cd539bbd6fb81e770c3e4f4937602"", ""ensemble_core.py"": ""aa138bb7cd5c0b886049937c477c125e6effcef58b63a87694e8ab911fe07cf0"", ""prioritizr_core.R"": ""2ce740e9d22f7f63b3b760c054e7455af38855a7ba12f638a66c2f2a8dba6f5f"", ""mga_core.R"": ""7a65f937e91d8a745da0b18d47884053be9cf062fb1c91b2473a11493655ec1f""}",2026-09-03T20:59:46.807229+00:00,True
s1_ssp245_theta5,s1,S1_core_habitat,ssp245_2071_2100,theta5_amount,ab_l,ab_y2y_v1,v0.14.1,"pa_mask (inherited, D-AB2)",locked + X*unlocked (D-AB5 v2),A,38055,0.4470064487331587,"{""climate_type_macrorefugia"": 2.248801, ""transboundary_connectivity"": 0.244063, ""climate_corridors"": 1.273311, ""irrecoverable_carbon_m_soc"": 0.174676, ""irrecoverable_carbon_biomass"": 0.136989, ""aoh_richness_birds"": 1.104379, ""aoh_richness_mammals"": 1.817781}","{""irrecoverable_carbon_m_soc"": 0.322}","{""climate_type_macrorefugia"": 0.5, ""transboundary_connectivity"": 0.083333, ""climate_corridors"": 0.083333, ""irrecoverable_carbon_m_soc"": 0.112438, ""irrecoverable_carbon_biomass"": 0.054228, ""aoh_richness_birds"": 0.083333, ""aoh_richness_mammals"": 0.083333}",50,0.05,0.02,0.05,0.0001,2,1e-9 / AB re-run 2026-09-03 (0 cells zeroed),mga_maxham_v1,v2_8db80fed1c702638,gurobi,deterministic (MGA warm-start chain; no RNG),"{""human_modification"": ""25412ff8ff9946d453faf85ccd681fad9a4b2f0cc93f419432a4da8fea6d3933"", ""transboundary_connectivity"": ""5b2abbebddd734d733eaa625c0e7690cb1bbbbd7de83a3cf5e76c99acbbd7033"", ""climate_corridors"": ""ecd96fe7f2659c81c0d8cd85ec18b6bade2dd0b4e6fa835823172eb50d2b1e56"", ""climate_type_macrorefugia"": ""bb11ad50dc3107e3b7efac1d3857bf1197ac644756f935d578408a7cf476f3c2"", ""irrecoverable_carbon_biomass"": ""33cf20e0b2adb115e7ad4d755490136930b138e998759c04cb87c92fddf470c8"", ""irrecoverable_carbon_m_soc"": ""b34186921d77bfc98b664d5bbf2ee896010c21bc4b049135358ef540cc5fb1a2"", ""aoh_richness_mammals"": ""b85a1511e118deb16539c165bef93be270c3c7042f03424900879bae0ec31849"", ""aoh_richness_birds"": ""6e9f8e8a8894af775297ba2f18b5b4a777047837ed2a086c7bf090010f39526b""}",,,,832e76fc50c7f97b07849023e6f1753d1b3b9aee,"{""config.py"": ""d478c27a863b2477e1dd6c36a0e1fa1f742b62a37dd7caf9c358cc0c596e1dd6"", ""leverage_core.py"": ""bcbbe811f9ebdf26b9a5795e29825fa2e83cd539bbd6fb81e770c3e4f4937602"", ""ensemble_core.py"": ""aa138bb7cd5c0b886049937c477c125e6effcef58b63a87694e8ab911fe07cf0"", ""prioritizr_core.R"": ""2ce740e9d22f7f63b3b760c054e7455af38855a7ba12f638a66c2f2a8dba6f5f"", ""mga_core.R"": ""7a65f937e91d8a745da0b18d47884053be9cf062fb1c91b2473a11493655ec1f""}",2026-09-03T20:59:46.807229+00:00,True
s2_ssp245_theta5,s2,S2_connectivity,ssp245_2071_2100,theta5_amount,ab_l,ab_y2y_v1,v0.14.1,"pa_mask (inherited, D-AB2)",locked + X*unlocked (D-AB5 v2),A,38055,0.4470064487331587,"{""climate_type_macrorefugia"": 0.614749, ""transboundary_connectivity"": 0.600467, ""climate_corridors"": 3.132723, ""irrecoverable_carbon_m_soc"": 0.143252, ""irrecoverable_carbon_biomass"": 0.112345, ""aoh_richness_birds"": 0.905702, ""aoh_richness_mammals"": 1.490763}","{""irrecoverable_carbon_m_soc"": 0.322}","{""climate_type_macrorefugia"": 0.166667, ""transboundary_connectivity"": 0.25, ""climate_corridors"": 0.25, ""irrecoverable_carbon_m_soc"": 0.112438, ""irrecoverable_carbon_biomass"": 0.054228, ""aoh_richness_birds"": 0.083333, ""aoh_richness_mammals"": 0.083333}",50,0.05,0.02,0.05,0.0001,2,1e-9 / AB re-run 2026-09-03 (0 cells zeroed),mga_maxham_v1,v2_8db80fed1c702638,gurobi,deterministic (MGA warm-start chain; no RNG),"{""human_modification"": ""25412ff8ff9946d453faf85ccd681fad9a4b2f0cc93f419432a4da8fea6d3933"", ""transboundary_connectivity"": ""5b2abbebddd734d733eaa625c0e7690cb1bbbbd7de83a3cf5e76c99acbbd7033"", ""climate_corridors"": ""ecd96fe7f2659c81c0d8cd85ec18b6bade2dd0b4e6fa835823172eb50d2b1e56"", ""climate_type_macrorefugia"": ""bb11ad50dc3107e3b7efac1d3857bf1197ac644756f935d578408a7cf476f3c2"", ""irrecoverable_carbon_biomass"": ""33cf20e0b2adb115e7ad4d755490136930b138e998759c04cb87c92fddf470c8"", ""irrecoverable_carbon_m_soc"": ""b34186921d77bfc98b664d5bbf2ee896010c21bc4b049135358ef540cc5fb1a2"", ""aoh_richness_mammals"": ""b85a1511e118deb16539c165bef93be270c3c7042f03424900879bae0ec31849"", ""aoh_richness_birds"": ""6e9f8e8a8894af775297ba2f18b5b4a777047837ed2a086c7bf090010f39526b""}",,,,832e76fc50c7f97b07849023e6f1753d1b3b9aee,"{""config.py"": ""d478c27a863b2477e1dd6c36a0e1fa1f742b62a37dd7caf9c358cc0c596e1dd6"", ""leverage_core.py"": ""bcbbe811f9ebdf26b9a5795e29825fa2e83cd539bbd6fb81e770c3e4f4937602"", ""ensemble_core.py"": ""aa138bb7cd5c0b886049937c477c125e6effcef58b63a87694e8ab911fe07cf0"", ""prioritizr_core.R"": ""2ce740e9d22f7f63b3b760c054e7455af38855a7ba12f638a66c2f2a8dba6f5f"", ""mga_core.R"": ""7a65f937e91d8a745da0b18d47884053be9cf062fb1c91b2473a11493655ec1f""}",2026-09-03T20:59:46.807229+00:00,True
s3_ssp245_theta5,s3,S3_biodiversity,ssp245_2071_2100,theta5_amount,ab_l,ab_y2y_v1,v0.14.1,"pa_mask (inherited, D-AB2)",locked + X*unlocked (D-AB5 v2),A,38055,0.4470064487331587,"{""climate_type_macrorefugia"": 0.462509, ""transboundary_connectivity"": 0.150588, ""climate_corridors"": 0.785641, ""irrecoverable_carbon_m_soc"": 0.107776, ""irrecoverable_carbon_biomass"": 0.084523, ""aoh_richness_birds"": 2.044222, ""aoh_richness_mammals"": 3.36474}","{""irrecoverable_carbon_m_soc"": 0.322}","{""climate_type_macrorefugia"": 0.166667, ""transboundary_connectivity"": 0.083333, ""climate_corridors"": 0.083333, ""irrecoverable_carbon_m_soc"": 0.112438, ""irrecoverable_carbon_biomass"": 0.054228, ""aoh_richness_birds"": 0.25, ""aoh_richness_mammals"": 0.25}",50,0.05,0.02,0.05,0.0001,2,1e-9 / AB re-run 2026-09-03 (0 cells zeroed),mga_maxham_v1,v2_8db80fed1c702638,gurobi,deterministic (MGA warm-start chain; no RNG),"{""human_modification"": ""25412ff8ff9946d453faf85ccd681fad9a4b2f0cc93f419432a4da8fea6d3933"", ""transboundary_connectivity"": ""5b2abbebddd734d733eaa625c0e7690cb1bbbbd7de83a3cf5e76c99acbbd7033"", ""climate_corridors"": ""ecd96fe7f2659c81c0d8cd85ec18b6bade2dd0b4e6fa835823172eb50d2b1e56"", ""climate_type_macrorefugia"": ""bb11ad50dc3107e3b7efac1d3857bf1197ac644756f935d578408a7cf476f3c2"", ""irrecoverable_carbon_biomass"": ""33cf20e0b2adb115e7ad4d755490136930b138e998759c04cb87c92fddf470c8"", ""irrecoverable_carbon_m_soc"": ""b34186921d77bfc98b664d5bbf2ee896010c21bc4b049135358ef540cc5fb1a2"", ""aoh_richness_mammals"": ""b85a1511e118deb16539c165bef93be270c3c7042f03424900879bae0ec31849"", ""aoh_richness_birds"": ""6e9f8e8a8894af775297ba2f18b5b4a777047837ed2a086c7bf090010f39526b""}",,,,832e76fc50c7f97b07849023e6f1753d1b3b9aee,"{""config.py"": ""d478c27a863b2477e1dd6c36a0e1fa1f742b62a37dd7caf9c358cc0c596e1dd6"", ""leverage_core.py"": ""bcbbe811f9ebdf26b9a5795e29825fa2e83cd539bbd6fb81e770c3e4f4937602"", ""ensemble_core.py"": ""aa138bb7cd5c0b886049937c477c125e6effcef58b63a87694e8ab911fe07cf0"", ""prioritizr_core.R"": ""2ce740e9d22f7f63b3b760c054e7455af38855a7ba12f638a66c2f2a8dba6f5f"", ""mga_core.R"": ""7a65f937e91d8a745da0b18d47884053be9cf062fb1c91b2473a11493655ec1f""}",2026-09-03T20:59:46.807229+00:00,True
