code,feature,n_unlocked,n_forms_forced_guarded,min_capture_guarded,n_forms_forced_unguarded,pct_of_unlocked_class_in_core
T6.1,T6.1.web.map_v1.0,5,0,0.0,0,0.0
S1.1_SF1.1,S1.1_SF1.1.web.merged_v3,551,0,0.08892921960072596,0,0.5444646098003629
T6.2,T6.2.web.alt_v2.0,859,0,0.05820721769499418,0,0.6984866123399301
T4.4,T4.4.web.orig_v1.0,1336,0,0.2597305389221557,0,0.0
T5.1,T5.1.web.mix_v1.0,2388,0,0.09673366834170855,0,0.0
T6.3,T6.3.web.map_v1.0,2986,0,0.11687876758204957,0,0.20093770931011384
TF1.6_TF1.7,TF1.6_TF1.7.web.merged_v3,3919,0,0.172492982903802,0,0.0
T2.2,T2.2.web.mix_v1.0,5255,0,0.20228353948620362,0,0.0
F1.3,F1.3.web.map_v1.0,10401,0,0.16267666570522066,0,0.05768676088837611
T6.4,T6.4.web.orig_v1.0,16697,0,0.14379828711744624,0,0.17368389531053482
F2.4,F2.4.web.mix_v1.0,18330,0,0.11216584833606111,0,0.005455537370430988
SF1.2,SF1.2.web.orig_v1.0,44607,0,0.14139036474095995,0,0.008967202457013474
T2.1,T2.1.web.mix_v1.0,54773,0,0.1749219505960966,0,0.05659722856151754
