formulation,jaccard_with_vs_without_EFG,lat_with,lat_without,core_cells_dropped_without_EFG
s0_ssp585_theta5,0.7546332550247977,52.53273391723633,52.43476486206055,0
s1_ssp585_theta5,0.6819015846538782,52.38829040527344,52.032405853271484,0
s2_ssp585_theta5,0.802305836089016,52.60784912109375,52.414894104003906,0
s3_ssp585_theta5,0.7447655303685758,52.70524215698242,52.755027770996094,0
s4_ssp585_theta2,0.8625658077029648,52.85334396362305,53.042354583740234,0
s5_ssp585_theta5,0.7441619097042034,52.63383865356445,52.660152435302734,0
s0_ssp245_theta5,0.7555497518934448,52.62004852294922,52.51070022583008,0
s1_ssp245_theta5,0.7281686519838889,52.49234390258789,52.272090911865234,0
s2_ssp245_theta5,0.7970058813045803,52.658241271972656,52.4900016784668,0
s3_ssp245_theta5,0.7428052890847809,52.74740982055664,52.77378845214844,0
s4_ssp245_theta2,0.8706864564007422,52.96773147583008,53.157196044921875,0
s5_ssp245_theta5,0.7420525224602627,52.70061111450195,52.73456573486328,0
