fid,country,MappingUnit,name,label_state,ne_state,state_label_ok,name_collision,n_groups,area_km2,in_y2y_km2,frac_in_y2y,n_parts
0,Canada,Division No. 3_Alberta,Division No. 3,Alberta,Alberta,True,False,2.0,6641.31,6641.27,0.99999,1
1,Canada,Division No. 6_Alberta,Division No. 6,Alberta,Alberta,True,False,2.0,2097.12,2097.1,0.99999,2
2,Canada,Division No. 9_Alberta,Division No. 9,Alberta,Alberta,True,False,1.0,14845.62,14845.62,1.0,1
3,Canada,Division No. 11_Alberta,Division No. 11,Alberta,Alberta,True,False,,191.51,191.51,0.99998,1
4,Canada,Division No. 14_Alberta,Division No. 14,Alberta,Alberta,True,False,,16843.36,16843.36,1.0,1
5,Canada,Division No. 15_Alberta,Division No. 15,Alberta,Alberta,True,False,3.0,28569.79,28569.78,1.0,1
6,Canada,Division No. 18_Alberta,Division No. 18,Alberta,Alberta,True,False,,16673.75,16673.5,0.99999,1
7,Canada,Division No. 19_Alberta,Division No. 19,Alberta,Alberta,True,False,,1681.61,1681.47,0.99992,2
8,Canada,East Kootenay_British Columbia,East Kootenay,British Columbia,British Columbia,True,False,3.0,27849.81,27849.81,1.0,1
9,Canada,Central Kootenay_British Columbia,Central Kootenay,British Columbia,British Columbia,True,False,4.0,23144.28,23144.28,1.0,1
10,Canada,Kootenay Boundary_British Columbia,Kootenay Boundary,British Columbia,British Columbia,True,False,1.0,3815.31,3815.29,1.0,1
11,Canada,Thompson-Nicola_British Columbia,Thompson-Nicola,British Columbia,British Columbia,True,False,,16617.24,16617.21,1.0,1
12,Canada,Central Okanagan_British Columbia,Central Okanagan,British Columbia,British Columbia,True,False,,135.02,135.02,1.0,1
13,Canada,North Okanagan_British Columbia,North Okanagan,British Columbia,British Columbia,True,False,,6559.88,6559.88,1.0,1
14,Canada,Columbia-Shuswap_British Columbia,Columbia-Shuswap,British Columbia,British Columbia,True,False,1.0,29698.42,29698.42,1.0,2
15,Canada,Cariboo_British Columbia,Cariboo,British Columbia,British Columbia,True,False,,9892.98,9892.98,1.0,1
16,Canada,Kitimat-Stikine_British Columbia,Kitimat-Stikine,British Columbia,British Columbia,True,False,,42294.19,42294.19,1.0,2
17,Canada,Bulkley-Nechako_British Columbia,Bulkley-Nechako,British Columbia,British Columbia,True,False,,22669.8,22669.8,1.0,1
18,Canada,Fraser-Fort George_British Columbia,Fraser-Fort George,British Columbia,British Columbia,True,False,1.0,38002.52,38002.52,1.0,1
19,Canada,Peace River_Alberta,Peace River,Alberta,British Columbia,False,False,,99905.4,99905.35,1.0,1
20,Canada,Stikine_British Columbia,Stikine,British Columbia,British Columbia,True,False,,79119.53,79119.53,1.0,1
21,Canada,Northern Rockies_British Columbia,Northern Rockies,British Columbia,British Columbia,True,False,,44260.17,44260.17,1.0,1
22,Canada,Yukon_British Columbia,Yukon,British Columbia,Yukon,False,False,,296959.23,296959.19,1.0,1
23,Canada,Region 1_Yukon,Region 1,Yukon,Northwest Territories,False,False,,12924.74,12924.31,0.99997,1
24,Canada,Region 2_Yukon,Region 2,Yukon,Northwest Territories,False,False,,80819.06,80818.85,1.0,1
25,Canada,Region 4_British Columbia,Region 4,British Columbia,Northwest Territories,False,False,,78679.52,78679.5,1.0,1
26,USA,Ada County_Idaho,Ada County,Idaho,Idaho,True,False,,50.05,50.04,0.99973,2
27,USA,Adams County_Idaho,Adams County,Idaho,Idaho,True,False,,3547.01,3547.01,1.0,1
28,USA,Bear Lake County_Idaho,Bear Lake County,Idaho,Idaho,True,False,,1033.69,1033.67,0.99999,1
29,USA,Benewah County_Idaho,Benewah County,Idaho,Idaho,True,False,,2007.43,2007.43,1.0,1
30,USA,Bingham County_Idaho,Bingham County,Idaho,Idaho,True,False,,173.02,173.02,1.0,1
31,USA,Blaine County_Idaho,Blaine County,Idaho,Idaho,True,False,,3923.84,3923.78,0.99999,1
32,USA,Boise County_Idaho,Boise County,Idaho,Idaho,True,False,,4813.9,4813.89,1.0,1
33,USA,Bonner County_Idaho,Bonner County,Idaho,Idaho,True,False,1.0,4967.94,4967.94,1.0,1
34,USA,Bonneville County_Idaho,Bonneville County,Idaho,Idaho,True,False,,2704.42,2704.42,1.0,1
35,USA,Boundary County_Idaho,Boundary County,Idaho,Idaho,True,False,,3310.15,3310.15,1.0,1
36,USA,Butte County_Idaho,Butte County,Idaho,Idaho,True,False,,3032.93,3032.85,0.99998,1
37,USA,Camas County_Idaho,Camas County,Idaho,Idaho,True,False,,1827.1,1827.07,0.99999,4
