fid,MappingUnit,name,admin1,region,subregion,basis,note
0,Division No. 3_Alberta,Division No. 3,Alberta,Crown of the Continent,"Division No. 3 — Pincher Creek, Cardston, Fort Macleod, Claresholm; Waterton Lakes, Castle, Porcupine Hills (principal places)",principal places (AB),Alberta side of the Crown (Waterton–Castle); Crowsnest Pass itself is in Division No. 15
1,Division No. 6_Alberta,Division No. 6,Alberta,Bow Valley / Kananaskis,"Division No. 6 — Calgary region; inside Y2Y only the foothills strip west of Calgary: Cochrane, Bragg Creek, Diamond Valley, Sundre (principal places)",principal places (AB),"VET: the Y2Y strip is the Kananaskis front / Calgary foothills, not the Bow Valley proper (Canmore–Banff are Division No. 15); alternative word 'Calgary foothills'"
2,Division No. 9_Alberta,Division No. 9,Alberta,Central Alberta foothills,"Division No. 9 — Rocky Mountain House, Caroline, Nordegg; Clearwater County, Bighorn backcountry (principal places)",principal places (AB),
3,Division No. 11_Alberta,Division No. 11,Alberta,Central Alberta foothills,Division No. 11 — Edmonton region; inside Y2Y only a 192 km² sliver of Brazeau County west of Drayton Valley (principal places),principal places (AB),boundary sliver (192 km²) folded into the neighbouring foothills word — VET only if a cluster ever lands here
4,Division No. 14_Alberta,Division No. 14,Alberta,Central Alberta foothills,"Division No. 14 — Hinton, Edson; Yellowhead County, Willmore Wilderness (principal places)",principal places (AB),VET: StatCan 2021 puts Hinton/Edson in No. 14 (Yellowhead County) and Jasper in No. 15 — the clip centroid (53.4°N 117.7°W) sits on Hinton; 'Yellowhead / Willmore' is the landscape alternative to the foothills word
5,Division No. 15_Alberta,Division No. 15,Alberta,Alberta Rockies (Banff–Jasper),"Division No. 15 — the mountain-parks strip: Crowsnest Pass, Kananaskis, Canmore, Banff, Jasper (principal places)",principal places (AB),"VET: one unit spans 49–54°N (Crowsnest Pass to Jasper), so a cluster inside it needs the park / valley named per cluster (Bow Valley, Kananaskis, Jasper)"
6,Division No. 18_Alberta,Division No. 18,Alberta,Kakwa / Grande Cache,"Division No. 18 — Grande Cache, Valleyview, Fox Creek; MD of Greenview, Kakwa Wildland (principal places)",principal places (AB),VET: could fold into 'Peace region' or 'Central Alberta foothills' to shorten the set; kept separate because Kakwa–Grande Cache is its own landscape
7,Division No. 19_Alberta,Division No. 19,Alberta,Peace region,"Division No. 19 — Grande Prairie, Beaverlodge, Hythe; inside Y2Y only the County of Grande Prairie's western edge at the BC border (principal places)",principal places (AB),
8,East Kootenay_British Columbia,East Kootenay,British Columbia,Kootenays,"Regional District of East Kootenay (Cranbrook, Kimberley, Fernie, Invermere; Rocky Mountain Trench, Purcells east, Elk Valley)",admin name,
9,Central Kootenay_British Columbia,Central Kootenay,British Columbia,Kootenays,"Regional District of Central Kootenay (Nelson, Castlegar, Creston, Nakusp; West Kootenay — Selkirks, Kootenay Lake, Arrow Lakes)",admin name,
10,Kootenay Boundary_British Columbia,Kootenay Boundary,British Columbia,Okanagan–Boundary,"Regional District of Kootenay Boundary (Grand Forks, Christina Lake, Greenwood, Rossland–Trail; Boundary country, Granby)",admin name,"VET: the Y2Y clip is mostly the Boundary country (Granby / Christina Lake), hence the Boundary word; Rossland–Trail would say 'West Kootenay'"
11,Thompson-Nicola_British Columbia,Thompson-Nicola,British Columbia,Columbia Mountains,"Thompson-Nicola Regional District, eastern part inside Y2Y (Clearwater, Blue River; North Thompson valley, Wells Gray, Monashee / Cariboo Mountains)",landscape name,VET: the district name (Thompson) does not describe the clip; 'North Thompson / Wells Gray' is the alternative if it should stand apart from the Columbia Mountains
12,Central Okanagan_British Columbia,Central Okanagan,British Columbia,Okanagan–Boundary,Regional District of Central Okanagan (Kelowna); inside Y2Y only a 135 km² sliver east of Big White (Kettle River headwaters),admin name,boundary sliver (135 km²)
13,North Okanagan_British Columbia,North Okanagan,British Columbia,Okanagan–Boundary,"Regional District of North Okanagan (Vernon, Lumby; inside Y2Y the Monashee west slope — Lumby, Cherryville, Mabel Lake)",admin name,"VET: the clip is the Monashee slope, so 'Columbia Mountains' is the geographic alternative"
14,Columbia-Shuswap_British Columbia,Columbia-Shuswap,British Columbia,Columbia Mountains,"Columbia-Shuswap Regional District (Revelstoke, Golden; Selkirks, Monashees, Purcells north, Rogers Pass, Kinbasket)",admin name,
