name_label,kind,part_id,area_km2,is_seed
IPCA · Peel Watershed - SMA/WA (+1),ipca,1,55738.3,True
IPCA · Peel Watershed - SMA/WA (+1),ipca,2,0.4,False
IPCA · Peel Watershed - SMA/WA (+1),ipca,3,0.1,False
IPCA · Peel Watershed - SMA/WA (+1),ipca,4,0.1,False
IPCA · Peel Watershed - SMA/WA (+1),ipca,5,0.1,False
IPCA · Dene Kʼéh Kusān,ipca,1,37090.2,True
IPCA · Dene Kʼéh Kusān,ipca,2,2064.3,True
IPCA · Dene Kʼéh Kusān,ipca,3,79.5,True
IPCA · Dene Kʼéh Kusān,ipca,4,0.1,False
IPCA · Tū Łī́dlini (Ross River),ipca,1,39795.1,True
IPCA · T’akú Tlatsini (Taku River Tlingit),ipca,1,5334.4,True
IPCA · Tahltan - Sacred Headwaters (Klappan),ipca,1,2967.0,True
IPCA · Wilps Gwininitxw,ipca,1,1736.2,True
IPCA · Tthetäwndëk (Tatonduk),ipca,1,7954.1,True
IPCA · Tsey Dëk (Fifteenmile),ipca,1,2764.8,True
IPCA · Tintina Trench,ipca,1,1815.8,True
IPCA · Wədzih Yiné’ (Caribou Song),ipca,1,1105.6,True
PA · Carp Lake Park,pa,1,376.6,True
PA · Chase Park,pa,1,361.2,True
PA · Ddhaw Ghro,pa,1,1610.9,True
PA · Ddhaw Ghro,pa,2,0.1,False
PA · Denetiah Corridor Protected Area,pa,1,979.6,True
PA · Dune Za Keyih Park [A.k.a. Frog Gataga Park],pa,1,3478.6,True
PA · Finlay Russel Park,pa,1,1228.0,True
PA · Nj ‘Iinlii” Jjik (Fishing Branch) Habitat Protection Area (+1),pa,1,6332.2,True
PA · Gladys Lake Ecological Reserve,pa,1,431.0,True
PA · Graham Laurier Park,pa,1,999.0,True
PA · Gwillim Lake Park,pa,1,324.2,True
PA · Kakwa Park,pa,1,591.0,True
PA · Klua Lakes Protected Area,pa,1,280.3,True
PA · Kwadacha Wilderness Park,pa,1,1302.6,True
PA · Liard River Corridor Park,pa,1,481.9,True
PA · Liard River Corridor Park,pa,2,251.9,True
PA · Liard River Corridor Park,pa,3,79.1,True
PA · Monkman Park,pa,1,628.8,True
PA · Mount Blanchet Park,pa,1,244.3,True
PA · Mount Blanchet Park,pa,2,0.1,False
PA · Mount Edziza Park,pa,1,2656.9,True
PA · Muncho Lake Park,pa,1,860.8,True
PA · Nahanni National Park Reserve Of Canada,pa,1,30020.7,True
PA · Nahanni National Park Reserve Of Canada,pa,2,43.2,True
PA · Neah Conservancy (+1),pa,1,2349.5,True
PA · Northern Rocky Mountains Park,pa,1,6663.1,True
PA · Nááts’Ihch’Oh National Park Reserve Of Canada,pa,1,4382.7,True
PA · Nááts’Ihch’Oh National Park Reserve Of Canada,pa,2,515.9,True
PA · Omineca Park,pa,1,1344.1,True
PA · Pine Le Moray Park,pa,1,432.9,True
PA · Pine Le Moray Park,pa,2,6.1,False
PA · Redfern Keily Park,pa,1,807.4,True
PA · Spatsizi Plateau Wilderness Park,pa,1,7000.9,True
PA · Spatsizi Plateau Wilderness Park,pa,2,0.1,False
PA · Stikine River Park,pa,1,2578.3,True
PA · Stone Mountain Park,pa,1,251.9,True
PA · Sustut Park,pa,1,779.4,True
PA · Swan Lake Kispiox River Park,pa,1,622.3,True
PA · Tatlatui Park,pa,1,1031.5,True
PA · Tombstone Natural Environment Park,pa,1,1705.3,True
PA · Tombstone Natural Environment Park,pa,2,343.5,True
