number,name,act,act_v16,n_components,driving_label,driving,area_km2,mean_guarded_F,min_guarded_F,pct_core habitat,pct_connectivity,pct_biodiversity,pct_carbon,pct_representativeness,pct_intactness,efg_classes_present,driver_m_soc theta-tail,driver_connectivity spike (top 0.2%),driver_refugia densest (area-matched to the m_soc tail),driver_rare-attainable EFG footprint,driver_rarest-EFG footprint (<= 1% of PU each),pct_adequacy_forced,pct_forced_any_formulation,adequacy_pin,adequacy_pin_class,mean_lat,pct_within_5km_of_PA,pct_in_proposed_IPCA,n_formulations_frequent
1,Purcell Wilderness Conservancy Park vicinity (50.1°N 116.4°W),Act 1,Act 2 core,2,all formulations,all formulations,5649.0,0.8276805281639099,0.22549019753932953,0.9836764931678772,0.361309677362442,0.7826876044273376,0.5776882171630859,0.8243985176086426,0.4609125256538391,14,2.1596742786333865,0.3009382191538325,90.97185342538502,100.0,1.0798371393166932,,,False,,50.050048828125,24.2520800141618,13.064259160913435,11
2,SW of Tahltan - Sacred Headwaters (Klappan) (56.7°N 129.3°W),Act 1,Act 2 core,3,all formulations,all formulations,1998.0,0.7486547231674194,0.10457516461610794,0.9850296974182129,0.5755718946456909,0.20388151705265045,0.6887702941894531,0.7330721616744995,0.8910307884216309,8,1.001001001001001,0.0,91.3913913913914,99.7997997997998,4.2042042042042045,,,False,,56.775699615478516,0.7007007007007007,3.6036036036036037,8
3,NW of Frank Church River Of No Return Wilderness (45.3°N 115.7°W),Act 1,Act 2 core,3,all formulations,all formulations,1656.0,0.8832261562347412,0.38071897625923157,0.9929574131965637,0.3560852110385895,0.8546254634857178,0.40122517943382263,0.751366138458252,0.4012128710746765,10,0.0,0.36231884057971014,96.31642512077295,100.0,0.0,,,False,,45.35620880126953,50.1207729468599,0.0,12
4,S of Mount Robson Park (52.6°N 118.6°W),Act 1,Act 2 core,3,all formulations,all formulations,1054.0,0.7830208539962769,0.3692810535430908,0.980816662311554,0.45429757237434387,0.5787332653999329,0.6909160614013672,0.9687266945838928,0.7025467157363892,14,5.692599620493358,0.6641366223908919,87.09677419354838,100.0,3.320683111954459,,,False,,52.3957405090332,35.57874762808349,0.0,9
5,W of Mount Edziza Park (57.6°N 131.1°W),Act 1,Act 2 core,3,all formulations,all formulations,772.0,0.8323872685432434,0.3251633942127228,0.9756048917770386,0.562983512878418,0.26305022835731506,0.7709296941757202,0.784864068031311,0.707674503326416,9,23.44559585492228,0.0,81.60621761658031,100.0,3.3678756476683938,,,False,,57.53395080566406,20.854922279792746,0.0,10
6,NE of Eagle Cap Wilderness (45.4°N 117.2°W),Act 1,Act 2 core,1,all formulations,all formulations,532.0,0.7865558862686157,0.39215683937072754,0.9738805294036865,0.3108288049697876,0.7626389861106873,0.3747629225254059,0.903610110282898,0.18934909999370575,14,0.0,0.7518796992481203,71.42857142857143,100.0,0.0,,,False,,45.37220001220703,39.473684210526315,0.0,9
,S of Swan Lake Kispiox River Park (55.4°N 128.0°W),Act 1,Act 2 core,1,all formulations,all formulations,508.0,0.753933846950531,0.47385621070861816,0.9843232035636902,0.6185610294342041,0.5952620506286621,0.44432663917541504,0.7317662239074707,0.5447952151298523,8,0.0,0.0,96.06299212598425,100.0,0.0,,,False,,55.4332160949707,0.0,0.0,8
,NE of Jasper National Park Of Canada (53.4°N 116.8°W),Act 1,Act 2 core,1,all formulations,all formulations,412.0,0.8533496856689453,0.12418300658464432,0.6836084723472595,0.2653596103191376,0.763936460018158,0.5097651481628418,0.6817929148674011,0.09345319122076035,8,0.0,0.0,0.0,100.0,99.27184466019418,,,False,,53.39350128173828,0.0,0.0,10
,E of Frank Church River Of No Return Wilderness (45.1°N 114.4°W),Act 1,Act 2 core,2,all formulations,all formulations,372.0,0.793674111366272,0.33169934153556824,0.9907920360565186,0.14637887477874756,0.8610467314720154,0.3578319847583771,0.7446674704551697,0.3960229754447937,11,0.0,0.0,93.54838709677419,100.0,0.0,,,False,,45.136741638183594,41.66666666666667,0.0,6
,N of Granby Park (50.7°N 119.5°W),Act 1,Act 2 core,2,all formulations,all formulations,350.0,0.8684641122817993,0.5424836277961731,0.9810494780540466,0.3124163746833801,0.919042706489563,0.5186743140220642,0.6536586880683899,0.10556262731552124,10,0.0,0.0,81.14285714285714,62.57142857142857,4.285714285714286,,,False,,50.826072692871094,0.0,0.0,10
,NE of Swan Lake Kispiox River Park (56.2°N 128.3°W),Act 1,Act 2 core,1,all formulations,all formulations,292.0,0.7760822176933289,0.4591503441333771,0.9818976521492004,0.7827836871147156,0.29876908659935,0.7329392433166504,0.7418892979621887,0.8228878974914551,8,0.0,0.0,96.23287671232876,100.0,1.7123287671232876,,,False,,56.180850982666016,0.0,0.0,8
,NE of Frank Church River Of No Return Wilderness (45.7°N 114.4°W),Act 1,Act 2 core,1,all formulations,all formulations,259.0,0.7719231843948364,0.5571895837783813,0.9872204661369324,0.42341578006744385,0.9291835427284241,0.3485551178455353,0.8434372544288635,0.49723315238952637,9,0.0,0.0,98.06949806949807,100.0,0.0,,,False,,45.69499588012695,62.93436293436293,0.0,7
,SW of Valhalla Park (49.6°N 117.9°W),Act 1,Act 2 core,1,all formulations,all formulations,219.0,0.8102113008499146,0.27450981736183167,0.9645971655845642,0.32377928495407104,0.8777885437011719,0.6758938431739807,0.8374935388565063,0.3915894329547882,9,4.5662100456621,0.0,72.6027397260274,100.0,0.0,,,False,,49.55075454711914,0.0,0.0,9
,E of Sawtooth Wilderness (44.0°N 114.8°W),Act 1,Act 2 core,1,all formulations,all formulations,196.0,0.7620382308959961,0.6290850043296814,0.9920039176940918,0.060793399810791016,0.6488103270530701,0.35216742753982544,0.8276921510696411,0.29936832189559937,10,0.0,0.0,99.48979591836735,100.0,0.0,,,False,,43.988922119140625,41.3265306122449,0.0,6
,SW of Frank Church River Of No Return Wilderness (44.5°N 116.0°W),Act 1,Act 2 core,1,all formulations,all formulations,156.0,0.7832977175712585,0.6683006882667542,0.9813032150268555,0.23936332762241364,0.6790148615837097,0.3874798119068146,0.955926239490509,0.12599648535251617,12,0.0,0.0,85.8974358974359,100.0,0.0,,,False,,44.53720474243164,0.0,0.0,9
,S of Wells Gray Park (51.4°N 120.0°W),Act 1,Act 2 core,1,all formulations,all formulations,114.0,0.7428763508796692,0.6062090992927551,0.9837247729301453,0.35810720920562744,0.8986571431159973,0.5053235292434692,0.7330382466316223,0.20739994943141937,7,0.0,0.0,92.98245614035088,100.0,0.0,,,False,,51.36143493652344,57.01754385964912,0.0,7
,SW of Gros Ventre Wilderness (42.3°N 111.2°W),Act 1,Act 2 core,1,all formulations,all formulations,106.0,0.7595418691635132,0.5506536364555359,0.9561269283294678,0.5218698978424072,0.5272078514099121,0.16957491636276245,0.7479609251022339,0.1988469958305359,14,0.0,17.92452830188679,0.0,100.0,100.0,,,False,,42.32793426513672,0.0,0.0,9
,SE of Washakie Wilderness (44.0°N 109.3°W),Act 1,Act 2 core,1,all formulations,all formulations,101.0,0.7982107400894165,0.5735294222831726,0.9852508902549744,0.012553821317851543,0.36182335019111633,0.492360383272171,0.9189844131469727,0.4399052560329437,9,0.0,0.0,93.06930693069307,100.0,0.0,,,False,,43.991912841796875,89.10891089108911,0.0,9
245-1,S of Purcell Wilderness Conservancy Park (49.5°N 116.3°W),Act 1 (245),Act 2 core (SSP245),5,all formulations,all formulations,6497.0,0.7743498682975769,0.10457516461610794,0.9440715312957764,0.36589550971984863,0.7828942537307739,0.5756829380989075,0.8276453614234924,0.44933775067329407,14,2.2164075727258736,0.3847929813760197,70.15545636447591,100.0,1.1851623826381406,,,False,,50.0833854675293,23.28767123287671,12.836693858704018,9
245-2,NE of Gospel Hump Wilderness (45.7°N 115.4°W),Act 1 (245),Act 2 core (SSP245),2,all formulations,all formulations,3237.0,0.7313936352729797,0.16830067336559296,0.8364198803901672,0.41204753518104553,0.8804495334625244,0.3788597583770752,0.7652511596679688,0.35588812828063965,11,0.0,0.3089280197713933,53.691689836268154,100.0,0.0,,,False,,45.54709243774414,40.99474822366388,0.0,6
245-3,SW of Tahltan - Sacred Headwaters (Klappan) (56.7°N 129.3°W),Act 1 (245),Act 2 core (SSP245),5,all formulations,all formulations,2840.0,0.7179490923881531,0.10457516461610794,0.9767385721206665,0.5842185616493225,0.2564452588558197,0.6664329171180725,0.7072561979293823,0.871509850025177,8,0.7042253521126761,0.0,80.07042253521128,96.09154929577464,2.6056338028169015,,,False,,56.678916931152344,0.49295774647887325,2.8169014084507045,7
245-4,NE of Eagle Cap Wilderness (45.6°N 117.1°W),Act 1 (245),Act 2 core (SSP245),4,all formulations,all formulations,2430.0,0.5766017436981201,0.0833333358168602,0.5405092835426331,0.3000555634498596,0.7381302714347839,0.3200393319129944,0.841227114200592,0.1864110678434372,19,0.0,0.1646090534979424,20.123456790123456,100.0,0.3292181069958848,,,False,,45.73269271850586,9.876543209876543,0.0,6
245-5,S of Mount Robson Park (52.5°N 118.6°W),Act 1 (245),Act 2 core (SSP245),6,all formulations,all formulations,2417.0,0.6793011426925659,0.14052288234233856,0.8968591094017029,0.4766005873680115,0.582819402217865,0.6893715858459473,0.9684860706329346,0.6671928763389587,15,5.668183698800165,4.30285477865122,46.8349193214729,99.91725279271824,3.061646669424907,,,False,,52.32762145996094,19.28009929664874,0.0,5
245-6,S of Granby Park (49.5°N 118.4°W),Act 1 (245),Act 2 core (SSP245),5,all formulations,all formulations,1795.0,0.6076529026031494,0.15522876381874084,0.8601301312446594,0.3632255792617798,0.9542182087898254,0.5409083366394043,0.8058599829673767,0.1856715828180313,10,0.5571030640668524,0.0,23.119777158774372,99.49860724233983,0.0,,,False,,49.6100959777832,10.083565459610028,0.0,4
,S of Wells Gray Park (51.2°N 119.8°W),Act 1 (245),Act 2 core (SSP245),9,all formulations,all formulations,1671.0,0.6722140312194824,0.1993464231491089,0.9270802736282349,0.3397182524204254,0.9035848379135132,0.5156558752059937,0.6563587784767151,0.14150264859199524,11,0.0,0.0,40.45481747456613,63.73429084380611,2.9922202274087373,,,False,,51.24769592285156,25.61340514661879,0.0,5
,SW of Mount Edziza Park (57.5°N 131.0°W),Act 1 (245),Act 2 core (SSP245),2,all formulations,all formulations,1030.0,0.7471556067466736,0.21568627655506134,0.9351035952568054,0.56386399269104,0.3269253373146057,0.7184475660324097,0.770612359046936,0.6361576914787292,9,17.475728155339805,0.0,57.4757281553398,100.0,2.524271844660194,,,False,,57.60514450073242,15.53398058252427,0.0,7
,SE of Purcell Wilderness Conservancy Park (49.8°N 115.4°W),Act 1 (245),Act 2 core (SSP245),4,all formulations,all formulations,979.0,0.6378107070922852,0.30718955397605896,0.9466061592102051,0.4051443040370941,0.7033388614654541,0.6718794107437134,0.842413604259491,0.3748549222946167,13,6.332992849846783,0.0,26.046986721144023,100.0,0.10214504596527069,,,False,,49.784210205078125,25.638406537282943,0.0,5
,NE of Frank Church River Of No Return Wilderness (45.7°N 114.4°W),Act 1 (245),Act 2 core (SSP245),3,all formulations,all formulations,698.0,0.755452036857605,0.33169934153556824,0.9833823442459106,0.30829837918281555,0.8677119612693787,0.3750097155570984,0.7818187475204468,0.4460732936859131,12,0.0,0.0,89.97134670487105,100.0,0.0,,,False,,45.415916442871094,54.87106017191977,0.0,6
,NW of Eagle Cap Wilderness (45.5°N 118.1°W),Act 1 (245),Act 2 core (SSP245),2,all formulations,all formulations,573.0,0.5626760721206665,0.2222222238779068,0.686942458152771,0.37836939096450806,0.9042679071426392,0.3000721037387848,0.7544018030166626,0.20933204889297485,12,0.0,0.17452006980802792,19.3717277486911,100.0,0.0,,,False,,45.356510162353516,0.17452006980802792,0.0,4
,SW of Frank Church River Of No Return Wilderness (44.5°N 116.0°W),Act 1 (245),Act 2 core (SSP245),1,all formulations,all formulations,485.0,0.641078770160675,0.32679739594459534,0.9149396419525146,0.24213263392448425,0.6753469109535217,0.4012971520423889,0.9490278959274292,0.12637418508529663,12,0.0,0.0,28.45360824742268,100.0,0.0,,,False,,44.54576873779297,0.0,0.0,6
,S of Swan Lake Kispiox River Park (55.4°N 128.0°W),Act 1 (245),Act 2 core (SSP245),1,all formulations,all formulations,462.0,0.7352057099342346,0.4150327146053314,0.9667832851409912,0.5756087303161621,0.5965986251831055,0.4613485634326935,0.7291485071182251,0.5299893617630005,8,0.0,0.0,83.76623376623377,100.0,0.0,,,False,,55.3935661315918,0.0,0.0,7
,NE of Jasper National Park Of Canada (53.4°N 116.8°W),Act 1 (245),Act 2 core (SSP245),1,all formulations,all formulations,412.0,0.8533496856689453,0.12418300658464432,0.6836084723472595,0.2653596103191376,0.763936460018158,0.5097651481628418,0.6817929148674011,0.09345319122076035,8,0.0,0.0,0.0,100.0,99.27184466019418,,,False,,53.39350128173828,0.0,0.0,10
,SE of Cabinet Mountains Wilderness (47.9°N 114.9°W),Act 1 (245),Act 2 core (SSP245),1,all formulations,all formulations,338.0,0.6259620189666748,0.29738563299179077,0.9476581811904907,0.3001493811607361,0.886871874332428,0.44368821382522583,0.8472253680229187,0.37198877334594727,9,0.0,0.0,18.04733727810651,100.0,0.0,,,False,,47.85844039916992,0.0,0.0,3
,S of Anaconda Pintler Wilderness (45.5°N 113.6°W),Act 1 (245),Act 2 core (SSP245),1,all formulations,all formulations,310.0,0.643864631652832,0.47875818610191345,0.9194594025611877,0.28350117802619934,0.6305236220359802,0.2750282883644104,0.9597760438919067,0.20521825551986694,16,0.0,0.0,14.516129032258066,100.0,0.0,,,False,,45.483001708984375,0.0,0.0,6
,NE of North Absaroka Wilderness (44.9°N 109.6°W),Act 1 (245),Act 2 core (SSP245),1,all formulations,all formulations,223.0,0.5226486921310425,0.31209149956703186,0.7356991767883301,0.040626417845487595,0.6909790635108948,0.3662371337413788,0.9818419218063354,0.32430729269981384,15,0.0,0.0,8.968609865470851,100.0,0.0,,,False,,44.87848663330078,63.67713004484305,0.0,4
,SW of Gros Ventre Wilderness (42.4°N 111.2°W),Act 1 (245),Act 2 core (SSP245),1,all formulations,all formulations,194.0,0.7161663770675659,0.5506536364555359,0.9503999948501587,0.5135930776596069,0.5635450482368469,0.2247774749994278,0.7201929688453674,0.2086409330368042,14,0.0,17.525773195876287,0.0,100.0,100.0,,,False,,42.36374282836914,0.0,0.0,7
,SE of Sawtooth Wilderness (43.9°N 114.8°W),Act 1 (245),Act 2 core (SSP245),1,all formulations,all formulations,176.0,0.7366403341293335,0.41013073921203613,0.9849128723144531,0.0536450520157814,0.6763086915016174,0.3346090018749237,0.786163330078125,0.298005074262619,10,0.0,0.0,87.5,100.0,0.0,,,False,,43.91914749145508,40.340909090909086,0.0,6
,SE of Washakie Wilderness (44.0°N 109.3°W),Act 1 (245),Act 2 core (SSP245),1,all formulations,all formulations,168.0,0.7076622843742371,0.34477126598358154,0.9751616716384888,0.013586081564426422,0.3915760815143585,0.48440515995025635,0.9224121570587158,0.4541917145252228,10,0.0,0.0,64.88095238095238,100.0,0.0,,,False,,43.96424865722656,83.33333333333334,0.0,7
,S of Graham Laurier Park (56.3°N 123.5°W),Act 1 (245),Act 2 core (SSP245),1,all formulations,all formulations,135.0,0.5273299217224121,0.2401961088180542,0.8412718176841736,0.571256160736084,0.3492632210254669,0.7384430170059204,0.7217758297920227,0.845156192779541,7,1.4814814814814816,0.0,3.7037037037037033,99.25925925925925,0.0,,,False,,56.30006408691406,0.0,0.0,4
,S of Hells Canyon Wilderness (44.8°N 116.7°W),Act 1 (245),Act 2 core (SSP245),1,all formulations,all formulations,101.0,0.5881544351577759,0.21405230462551117,0.8963156938552856,0.08269192278385162,0.8830381631851196,0.322952002286911,0.8508167862892151,0.3292374908924103,9,0.0,0.0,4.9504950495049505,100.0,0.0,,,False,,44.78456115722656,35.64356435643564,0.0,5
585-1,Qat'Muk vicinity (50.4°N 116.4°W),Act 1 (585),Act 2 core (SSP585),5,all formulations,all formulations,5838.0,0.8064632415771484,0.20261438190937042,0.9896548986434937,0.37922701239585876,0.7948306798934937,0.5656585097312927,0.829645574092865,0.4193161725997925,15,1.8156903048989381,0.5823912298732443,96.30010277492292,100.0,0.6851661527920521,,,False,,50.12030029296875,23.723878040424804,11.219595751969853,9
585-2,SW of Tahltan - Sacred Headwaters (Klappan) (56.8°N 129.4°W),Act 1 (585),Act 2 core (SSP585),10,all formulations,all formulations,4521.0,0.7329398393630981,0.25653597712516785,0.9857040643692017,0.6262973546981812,0.29900145530700684,0.6526853442192078,0.7175272107124329,0.8057379126548767,10,4.71134704711347,0.0,94.9347489493475,94.07210794072108,2.78699402786994,,,False,,56.57144546508789,7.0559610705596105,5.13160805131608,7
585-3,NW of Frank Church River Of No Return Wilderness (45.3°N 115.7°W),Act 1 (585),Act 2 core (SSP585),3,all formulations,all formulations,1544.0,0.890620231628418,0.5506536364555359,0.9955873489379883,0.33587485551834106,0.856822669506073,0.39870622754096985,0.74961918592453,0.40625473856925964,10,0.0,0.2590673575129534,99.48186528497409,100.0,0.0,,,False,,45.3441047668457,51.619170984455955,0.0,12
585-4,SE of T’akú Tlatsini (Taku River Tlingit) (58.4°N 131.4°W),Act 1 (585),Act 2 core (SSP585),1,all formulations,all formulations,702.0,0.6597443222999573,0.5130718350410461,0.9881716966629028,0.6157950758934021,0.16952934861183167,0.7240880727767944,0.7534974217414856,0.6048520803451538,7,21.65242165242165,0.0,99.85754985754986,100.0,0.0,,,False,,58.367244720458984,0.0,38.46153846153847,5
585-5,S of Mount Robson Park (52.6°N 118.7°W),Act 1 (585),Act 2 core (SSP585),1,all formulations,all formulations,543.0,0.7812504768371582,0.4771241247653961,0.9853156208992004,0.5468025207519531,0.5822153091430664,0.6518054604530334,0.9446048140525818,0.7119489908218384,12,0.9208103130755065,0.5524861878453038,94.84346224677716,100.0,1.4732965009208103,,,False,,52.643314361572266,53.22283609576427,0.0,9
585-6,NE of Sawtooth Wilderness (44.1°N 114.9°W),Act 1 (585),Act 2 core (SSP585),1,all formulations,all formulations,452.0,0.6974160671234131,0.5032680034637451,0.9923421144485474,0.13432452082633972,0.6486949920654297,0.35240328311920166,0.8646474480628967,0.29841673374176025,11,0.0,0.0,100.0,100.0,0.0,,,False,,44.1180534362793,51.54867256637168,0.0,6
,E of Frank Church River Of No Return Wilderness (45.1°N 114.4°W),Act 1 (585),Act 2 core (SSP585),2,all formulations,all formulations,415.0,0.775564968585968,0.4950980246067047,0.9935451149940491,0.11942441761493683,0.8535076975822449,0.3516327142715454,0.7364544868469238,0.40419086813926697,11,0.0,0.0,98.79518072289156,100.0,0.0,,,False,,45.11811828613281,43.855421686746986,0.0,7
,NE of Jasper National Park Of Canada (53.4°N 116.8°W),Act 1 (585),Act 2 core (SSP585),1,all formulations,all formulations,412.0,0.8533496856689453,0.12418300658464432,0.6836084723472595,0.2653596103191376,0.763936460018158,0.5097651481628418,0.6817929148674011,0.09345319122076035,8,0.0,0.0,0.0,100.0,99.27184466019418,,,False,,53.39350128173828,0.0,0.0,10
,S of Jasper National Park Of Canada (52.1°N 117.5°W),Act 1 (585),Act 2 core (SSP585),2,all formulations,all formulations,255.0,0.8190696239471436,0.42973852157592773,0.9877333045005798,0.2973482608795166,0.5085319876670837,0.7522522211074829,0.9723453521728516,0.7800053954124451,13,13.333333333333334,0.0,95.29411764705881,100.0,5.88235294117647,,,False,,52.02244567871094,25.882352941176475,0.0,9
,N of Eagle Cap Wilderness (45.4°N 117.4°W),Act 1 (585),Act 2 core (SSP585),1,all formulations,all formulations,217.0,0.8040796518325806,0.4166666567325592,0.9910308122634888,0.27535325288772583,0.8315317034721375,0.39349260926246643,0.9354709386825562,0.1275300830602646,13,0.0,1.3824884792626728,99.07834101382488,100.0,0.0,,,False,,45.4210205078125,58.06451612903226,0.0,8
,NE of Frank Church River Of No Return Wilderness (45.7°N 114.4°W),Act 1 (585),Act 2 core (SSP585),1,all formulations,all formulations,203.0,0.7843862175941467,0.6601307392120361,0.9888670444488525,0.42175179719924927,0.9259648323059082,0.3470621407032013,0.8391898274421692,0.4827856123447418,8,0.0,0.0,100.0,100.0,0.0,,,False,,45.68685531616211,63.05418719211823,0.0,9
,SW of Valhalla Park (49.6°N 117.9°W),Act 1 (585),Act 2 core (SSP585),1,all formulations,all formulations,141.0,0.8850994110107422,0.48202618956565857,0.984966516494751,0.3472766876220703,0.837834894657135,0.7027143239974976,0.8378527760505676,0.4365042746067047,8,7.092198581560284,0.0,90.78014184397163,100.0,0.0,,,False,,49.55068588256836,0.0,0.0,11
,NW of Anaconda Pintler Wilderness (46.1°N 113.8°W),Act 1 (585),Act 2 core (SSP585),1,all formulations,all formulations,114.0,0.6249569654464722,0.4901961386203766,0.9850473999977112,0.5334572196006775,0.8839777112007141,0.37227192521095276,0.7445673942565918,0.36878958344459534,7,0.0,5.263157894736842,99.12280701754386,100.0,0.0,,,False,,46.08903121948242,19.298245614035086,0.0,4
