act,key,cid,cells,km2,meanF,minF,row,col,kept,lat,lon,name,complex,core_overlap_pct,residual_km2
Act 1,ensemble,256,5512,5512.0,0.8295774235348224,0.2254902,2249.443577648766,831.603229317852,True,50.05579516634005,-116.4025941859131,Purcell Wilderness Conservancy Park vicinity (50.1°N 116.4°W),8,,
Act 1,ensemble,77,1347,1347.0,0.7519445385902832,0.32189545,1285.184855233853,255.52783964365256,True,56.66216690268897,-129.30242152086177,SW of Tahltan - Sacred Headwaters (Klappan) (56.7°N 129.3°W),1,,
Act 1,ensemble,412,698,698.0,0.9138528421563884,0.38071898,2813.0873925501432,759.702005730659,True,45.2518725687056,-115.72362627903634,NW of Frank Church River Of No Return Wilderness (45.3°N 115.7°W),11,,
Act 1,ensemble,173,640,640.0,0.7745302375871688,0.40686277,1927.928125,754.1984375,True,52.585278139478305,-118.63141444045368,S of Mount Robson Park (52.6°N 118.6°W),7,,
Act 1,ensemble,387,629,629.0,0.8983810847249054,0.6062091,2776.5389507154214,787.5532591414944,True,45.6029984451366,-115.45520593131025,E of Gospel Hump Wilderness (45.6°N 115.5°W),11,,
Act 1,ensemble,388,532,532.0,0.7865558574746426,0.39215684,2776.3684210526317,658.6015037593985,True,45.37232062836394,-117.16910401741217,NE of Eagle Cap Wilderness (45.4°N 117.2°W),15,,
Act 1,ensemble,158,508,508.0,0.7539338003697358,0.4738562,1443.6574803149606,279.994094488189,True,55.43324734261993,-128.03723815776348,S of Swan Lake Kispiox River Park (55.4°N 128.0°W),4,,
Act 1,ensemble,43,491,491.0,0.7531082432284617,0.25653598,1238.9042769857433,241.22810590631366,True,56.99916867660633,-129.7968216559265,W of Tahltan - Sacred Headwaters (Klappan) (57.0°N 129.8°W),1,,
Act 1,ensemble,14,476,476.0,0.852450297284527,0.4281046,1150.361344537815,190.37605042016807,True,57.567567056009445,-131.1354239014048,W of Mount Edziza Park (57.6°N 131.1°W),2,,
Act 1,ensemble,170,412,412.0,0.8533496632267838,0.12418301,1862.7985436893205,888.8300970873786,True,53.39351332491338,-116.82089508643685,NE of Jasper National Park Of Canada (53.4°N 116.8°W),10,,
Act 1,ensemble,421,329,329.0,0.7892752951039369,0.5686274,2833.8632218844987,774.7112462006079,True,45.10586314827579,-115.46723669674165,W of Frank Church River Of No Return Wilderness (45.1°N 115.5°W),11,,
Act 1,ensemble,124,292,292.0,0.776082246372961,0.45915034,1357.390410958904,293.4554794520548,True,56.180844066590666,-128.3007112254286,NE of Swan Lake Kispiox River Park (56.2°N 128.3°W),3,,
Act 1,ensemble,208,290,290.0,0.8068627527047848,0.42973852,2011.5793103448275,819.4793103448276,True,52.01589078050257,-117.35985024583361,NW of Banff National Park Of Canada (52.0°N 117.4°W),7,,
