tier,guarded km2,guarded %disc,unguarded km2,unguarded %disc
"Act 1 core (F >= 0.70, all 12 design formulations)",29194,2.6984383737643096,4.0,0.000369725063199878
appendix s0: Balanced (frequent minus core),12118,1.1200820789640304,792.0,0.07320556251357584
Act 2 s1: Core-habitat-forward (frequent minus core),37092,3.4284605110524686,22818.0,2.109096623023704
Act 2 s2: Connectivity-forward (frequent minus core),11006,1.0172985113944644,31.0,0.0028653692397990543
Act 2 s3: Biodiversity-forward (frequent minus core),914,0.08448217694117212,0.0,0.0
Act 2 s4: Carbon-forward (frequent minus core),27798,2.569404326707552,20675.0,1.9110164204143694
appendix s5: Intactness push (S0 + gHM x10) (frequent minus core),7682,0.7100569838753656,0.0,0.0
Act 2 any named scenario (union),70166,6.485532196120659,42982.0,3.972880666614289
"Act 3 opportunity (in >= 1 band, not above)",955262,88.29607583061046,1038899.0,96.02674960832252
never (no near-optimal plan selects it),27263,2.5199535995045683,0.0,0.0
Act 1 core — BOTH refugia futures (cell-level intersection),19296,1.7835537048762113,,
climate-conditional core — SSP585 future only,12062,1.1149059280792322,,
climate-conditional core — SSP245 future only,21787,2.0137999879839352,,
Act 2 by scenario — Core-habitat-forward only (highest f where 2+ qualify excluded),31308,2.893838069665445,,
Act 2 by scenario — Connectivity-forward only (highest f where 2+ qualify excluded),8429,0.7791031394279428,,
Act 2 by scenario — Biodiversity-forward only (highest f where 2+ qualify excluded),271,0.025048873031791735,,
Act 2 by scenario — Carbon-forward only (highest f where 2+ qualify excluded),23805,2.200326282368274,,
Act 2 by scenario — frequent under 2+ named scenarios,6353,0.5872158316272063,,
