act,key,cid,cells,km2,meanF,minF,row,col,kept,lat,lon,name,complex,core_overlap_pct,residual_km2
Act 1,ensemble,242,6699,6699.0,0.8675709637372703,0.23202616,2243.2009255112703,832.183460217943,True,50.108811058946934,-116.41389791483465,Purcell Wilderness Conservancy Park vicinity (50.1°N 116.4°W),9,,
Act 1,ensemble,56,4949,4949.0,0.7717605289391711,0.06535948,1267.1087088300667,260.61749848454235,True,56.82615356853556,-129.32661595821264,SW of Tahltan - Sacred Headwaters (Klappan) (56.8°N 129.3°W),1,,
Act 1,ensemble,98,1948,1948.0,0.7735955184306452,0.4117647,1366.4009240246407,292.5200205338809,True,56.10400016407104,-128.2654848249901,NE of Swan Lake Kispiox River Park (56.1°N 128.3°W),1,,
Act 1,ensemble,201,1585,1585.0,0.7613162703318551,0.3153595,2069.367192429022,829.3577287066246,True,51.552252464857574,-117.0184080630799,NW of Yoho National Park Of Canada (51.6°N 117.0°W),9,,
Act 1,ensemble,462,1237,1237.0,0.8806978247053892,0.19934642,2822.028294260307,764.445432497979,True,45.186104685081744,-115.63585188665421,NW of Frank Church River Of No Return Wilderness (45.2°N 115.6°W),6,,
Act 1,ensemble,170,1106,1106.0,0.8145218068029846,0.11764706,1922.4267631103073,749.9186256781194,True,52.62245542744771,-118.71579988437549,S of Mount Robson Park (52.6°N 118.7°W),9,,
Act 1,ensemble,421,936,936.0,0.9042616380521884,0.3267974,2771.412393162393,785.3376068376068,True,45.64165476957195,-115.49902260802568,E of Gospel Hump Wilderness (45.6°N 115.5°W),6,,
Act 1,ensemble,294,842,842.0,0.7360296172937135,0.45424834,2234.2992874109264,678.2874109263659,True,49.88746626111201,-118.65066666193454,N of Granby Park (49.9°N 118.7°W),10,,
Act 1,ensemble,72,842,842.0,0.7164295374497666,0.48039213,1300.2375296912114,313.09501187648453,True,56.70915155594095,-128.3105668177492,N of Wilps Gwininitxw (56.7°N 128.3°W),1,,
Act 1,ensemble,135,742,742.0,0.8712277430488735,0.46078432,1437.7061994609164,277.3274932614555,True,55.47435718654243,-128.11057279564724,S of Swan Lake Kispiox River Park (55.5°N 128.1°W),1,,
Act 1,ensemble,28,670,670.0,0.7514657190486567,0.36601305,1058.720895522388,206.31044776119404,True,58.372551821874225,-131.45313541526633,SE of T’akú Tlatsini (Taku River Tlingit) (58.4°N 131.5°W),1,,
Act 1,ensemble,322,600,600.0,0.7661301860709985,0.49509802,2283.98,893.2133333333334,True,49.87747081809769,-115.41019081375556,SE of Purcell Wilderness Conservancy Park (49.9°N 115.4°W),9,,
Act 1,ensemble,433,580,580.0,0.8081305002857899,0.34477127,2776.098275862069,657.3,True,45.372109777743965,-117.18714054822789,NE of Eagle Cap Wilderness (45.4°N 117.2°W),2,,
Act 1,ensemble,38,521,521.0,0.8843193798971267,0.45751634,1150.8119001919385,190.33205374280232,True,57.56372877176849,-131.13334212158674,W of Mount Edziza Park (57.6°N 131.1°W),1,,
Act 1,ensemble,443,503,503.0,0.8062117574940145,0.52287585,2789.6262425447317,861.182902584493,True,45.61815534881037,-114.43646578289584,NE of Frank Church River Of No Return Wilderness (45.6°N 114.4°W),4,,
Act 1,ensemble,202,412,412.0,0.8375888449474446,0.44444445,2010.3373786407767,816.4174757281553,True,52.02039369172742,-117.40969921172957,NW of Banff National Park Of Canada (52.0°N 117.4°W),9,,
Act 1,ensemble,53,396,396.0,0.8026919582425945,0.37908494,1196.719696969697,210.21464646464648,True,57.249710629852146,-130.53810286174442,S of Mount Edziza Park (57.2°N 130.5°W),1,,
Act 1,ensemble,487,313,313.0,0.8435131347598359,0.31699347,2853.361022364217,851.8785942492012,True,45.073679731013094,-114.39341417085397,E of Frank Church River Of No Return Wilderness (45.1°N 114.4°W),4,,
Act 1,ensemble,345,291,291.0,0.7272701845136295,0.32189545,2295.745704467354,916.5876288659794,True,49.81942275134099,-115.03929434020773,NW of Castle Provincial Park (49.8°N 115.0°W),9,,
Act 1,ensemble,513,282,282.0,0.7785484256051111,0.60294116,2966.7624113475176,796.8085106382979,True,44.04174296140701,-114.82041877564572,E of Sawtooth Wilderness (44.0°N 114.8°W),3,,
Act 1,ensemble,373,268,268.0,0.7598770961387834,0.5735294,2346.992537313433,858.3731343283582,True,49.29182261950161,-115.71975204393569,S of Purcell Wilderness Conservancy Park (49.3°N 115.7°W),9,,
Act 1,ensemble,50,245,245.0,0.7249299846133407,0.4509804,1183.7877551020408,262.2326530612245,True,57.51745902333018,-129.78920044555235,NW of Tahltan - Sacred Headwaters (Klappan) (57.5°N 129.8°W),1,,
Act 1,ensemble,331,242,242.0,0.8435693885669235,0.17320263,2284.3223140495866,720.0123966942149,True,49.55598487148863,-117.88579996050052,SW of Valhalla Park (49.6°N 117.9°W),11,,
Act 1,ensemble,245,227,227.0,0.9040122704358878,0.60620916,2130.603524229075,645.9074889867842,True,50.67886029350006,-119.48538449339537,N of Granby Park (50.7°N 119.5°W),13,,
Act 1,ensemble,184,226,226.0,0.8022225202448601,0.30555555,1969.3053097345132,782.6725663716815,True,52.297150501922296,-118.05608401087844,S of Jasper National Park Of Canada (52.3°N 118.1°W),9,,
Act 1,ensemble,115,211,211.0,0.808753837341381,0.6176471,1354.9715639810427,253.54502369668248,True,56.08323161642404,-128.93610028838154,NW of Swan Lake Kispiox River Park (56.1°N 128.9°W),1,,
Act 1,ensemble,415,205,205.0,0.7407859223644908,0.56535953,2739.531707317073,917.7414634146342,True,46.12552281449556,-113.80671632699563,NW of Anaconda Pintler Wilderness (46.1°N 113.8°W),5,,
Act 1,ensemble,60,203,203.0,0.7456212504743942,0.5604575,1213.9802955665025,281.23152709359607,True,57.32623821337946,-129.3086724425987,Tahltan - Sacred Headwaters (Klappan) vicinity (57.3°N 129.3°W),1,,
Act 1,ensemble,290,184,184.0,0.7154021068759586,0.4526144,2209.8260869565215,880.1413043478261,True,50.47304030331964,-115.82412008616686,S of Kootenay National Park Of Canada (50.5°N 115.8°W),9,,
Act 1,ensemble,207,179,179.0,0.8135337989423528,0.624183,2011.2849162011173,615.6759776536313,True,51.601493564399924,-120.37342224101423,SW of Wells Gray Park (51.6°N 120.4°W),12,,
