threshold,tier_km2,n_components,n_kept,kept_km2,largest_km2,act,key
0.6,46321,638,51,46850.0,9361.0,Act 1,ensemble
0.7,29194,535,46,29724.0,6699.0,Act 1,ensemble
0.8,16540,443,35,15695.0,5526.0,Act 1,ensemble
0.6,89457,600,65,89730.0,21159.0,Act 2,s1
0.7,66090,490,47,64204.0,10960.0,Act 2,s1
0.8,48912,465,40,43908.0,9398.0,Act 2,s1
0.6,43816,1813,42,33754.0,10941.0,Act 2,s2
0.7,27811,1452,20,19289.0,4420.0,Act 2,s2
0.8,17912,1162,7,4594.0,2944.0,Act 2,s2
0.6,24962,497,17,18808.0,7420.0,Act 2,s3
0.7,13014,374,3,5697.0,4512.0,Act 2,s3
0.8,6849,242,0,0.0,0.0,Act 2,s3
0.6,71476,2782,71,65243.0,13210.0,Act 2,s4
0.7,50217,2172,42,40096.0,7281.0,Act 2,s4
0.8,35590,1730,24,25018.0,5657.0,Act 2,s4
0.6,46280,659,49,46848.0,10233.0,Act 1 (585),ensemble_585
0.7,31358,498,40,31990.0,7173.0,Act 1 (585),ensemble_585
0.8,20243,430,39,19845.0,3773.0,Act 1 (585),ensemble_585
0.6,58567,752,62,58711.0,11338.0,Act 1 (245),ensemble_245
0.7,41083,682,53,40516.0,8540.0,Act 1 (245),ensemble_245
0.8,28014,509,53,27891.0,3448.0,Act 1 (245),ensemble_245
