number,act,key,cid,cids,n_components,name,km2,meanF,lat,lon,members
1,Act 1,ensemble,56,56;98;72;135;28;38;53;50;115;60;36;138,12,SW of Tahltan - Sacred Headwaters (Klappan) (56.8°N 129.3°W),10962.0,0.781125507380863,56.75243862348043,-129.255320245658,2
2,Act 1,ensemble,242,242;201;170;322;202;345;373;184;290;223;334,11,Purcell Wilderness Conservancy Park vicinity (50.1°N 116.4°W),11591.0,0.8299527314090871,50.63876778647643,-116.65839614351276,1
3,Act 1,ensemble,294,294;346,2,N of Granby Park (49.9°N 118.7°W),952.0,0.7445745556419637,49.83091857703305,-118.64244602962454,5
4,Act 1,ensemble,462,462;421;443;487;483;459;433;417,8,NW of Frank Church River Of No Return Wilderness (45.2°N 115.6°W),3977.0,0.8536026667328614,45.39825413006739,-115.52869794841469,3;4;6
5,Act 2,s1,24,24;38;43;8;15;18;12;106;80;56,10,Tahltan - Sacred Headwaters (Klappan) vicinity (57.0°N 128.9°W),12198.0,0.8478012670503211,56.948290239119856,-128.8410514538307,7
6,Act 2,s1,191,191;170;246;256;159;229;175;220;287,9,Purcell Wilderness Conservancy Park vicinity (49.9°N 116.3°W),8680.0,0.8573899592510784,50.5773632450006,-116.06629705484346,8
7,Act 2,s2,389,389;359,2,NW of Wilps Gwininitxw (56.6°N 128.3°W),2677.0,0.8102866638722465,56.49283236914128,-128.45937929543965,9
8,Act 2,s2,551,806;723;551;619;710,5,S of Mount Robson Park (52.5°N 118.6°W),1428.0,0.80589470820985,51.63586759494484,-117.54289546340446,10
9,Act 2,s3,211,211,1,S of Purcell Wilderness Conservancy Park (49.6°N 116.4°W),529.0,0.8491799720952696,49.75172585668022,-116.2785118097177,11
10,Act 2,s3,305,305,1,NE of Gospel Hump Wilderness (45.8°N 115.5°W),157.0,0.8790109301202697,45.66162731625822,-115.49797141898593,12
11,Act 2,s4,29,29;133;162,3,E of Fishing Branch Wilderness Preserve (66.6°N 134.1°W),4886.0,0.92315725214177,66.55059053322577,-134.11635366000786,13
12,Act 2,s4,1003,1003;967;1054,3,E of Nahanni National Park Reserve Of Canada (61.5°N 121.9°W),4318.0,0.8906850587042522,61.52797417268171,-122.363082856119,14
585-1,Act 1 (585),ensemble_585,50,50;92;28;137;51;82;38;80;40;107;74;140;34;144,14,S of Tahltan - Sacred Headwaters (Klappan) (56.9°N 129.2°W),13866.0,0.7940726398661004,56.84717938026448,-129.18621252722323,585-1
585-2,Act 1 (585),ensemble_585,236,236;194;166;293;273;345;182,7,Purcell Wilderness Conservancy Park vicinity (50.1°N 116.4°W),11522.0,0.8404246331052717,50.612894556989616,-116.58185377771807,585-2
585-3,Act 1 (585),ensemble_585,440,440;460;403,3,NW of Frank Church River Of No Return Wilderness (45.3°N 115.7°W),1947.0,0.9000909765775716,45.29437739555988,-115.54991839537051,585-3
585-4,Act 1 (585),ensemble_585,467,467;410;433;462,4,E of Frank Church River Of No Return Wilderness (45.0°N 114.3°W),1342.0,0.7981843590381071,45.30714635811097,-114.32402294271347,585-4
585-5,Act 1 (585),ensemble_585,383,383,1,NW of Anaconda Pintler Wilderness (46.1°N 113.8°W),612.0,0.7905292950716674,46.106823169508225,-113.78025846700328,585-5
585-6,Act 1 (585),ensemble_585,278,278,1,NW of Granby Park (49.8°N 118.7°W),598.0,0.7322392816527631,49.84205811179475,-118.68715456449718,585-6
245-1,Act 1 (245),ensemble_245,354,354;267;335;304;424;280;437;435;358;457,10,Purcell Wilderness Conservancy Park vicinity (50.0°N 116.4°W),14828.0,0.8492798093369214,50.663385507889565,-116.76235264594139,245-1
245-2,Act 1 (245),ensemble_245,98,98;74;191;161;73;151;190;136;166;195,10,SW of Tahltan - Sacred Headwaters (Klappan) (56.8°N 129.3°W),8533.0,0.8082676411782201,56.67288599343922,-129.2786646245903,245-2
245-3,Act 1 (245),ensemble_245,555,555;544;595;579;528;551;531;550,8,NE of Gospel Hump Wilderness (45.7°N 115.4°W),7425.0,0.8806065059606274,45.58211084427729,-116.38318532640037,245-3
245-4,Act 1 (245),ensemble_245,391,391;416;450,3,N of Granby Park (49.8°N 118.5°W),3237.0,0.8250680012276852,49.74051032769329,-118.38531996354729,245-4
245-5,Act 1 (245),ensemble_245,297,297;348;351;325;362;307,6,SW of Wells Gray Park (51.7°N 120.3°W),2484.0,0.8569314254270851,51.32202324159562,-119.83913644693344,245-5
245-6,Act 1 (245),ensemble_245,580,580;615;613,3,NE of Frank Church River Of No Return Wilderness (45.6°N 114.4°W),1011.0,0.8271270986539556,45.420982246836054,-114.37637738787434,245-6
