,s0_ssp585_theta5,s1_ssp585_theta5,s2_ssp585_theta5,s3_ssp585_theta5,s4_ssp585_theta3,s5_ssp585_theta5,s0_ssp245_theta5,s1_ssp245_theta5,s2_ssp245_theta5,s3_ssp245_theta5,s4_ssp245_theta3,s5_ssp245_theta5,s1x_ssp585_theta3,s3x_ssp585_theta3
s0_ssp585_theta5,1.0,0.6604,0.5754,0.6245,0.5473,0.7226,0.6582,0.5482,0.5181,0.5566,0.4679,0.5941,0.6203,0.6246
s1_ssp585_theta5,0.6604,1.0,0.457,0.4401,0.4627,0.6143,0.4964,0.5627,0.389,0.3935,0.3856,0.4709,0.8243,0.4401
s2_ssp585_theta5,0.5754,0.457,1.0,0.3977,0.4647,0.5585,0.4845,0.3944,0.7004,0.3732,0.3926,0.4688,0.4475,0.4016
s3_ssp585_theta5,0.6245,0.4401,0.3977,1.0,0.4284,0.4951,0.5913,0.4518,0.4078,0.7766,0.4226,0.4937,0.4216,0.9311
s4_ssp585_theta3,0.5473,0.4627,0.4647,0.4284,1.0,0.4764,0.4757,0.4199,0.4215,0.3999,0.7098,0.4316,0.534,0.4554
s5_ssp585_theta5,0.7226,0.6143,0.5585,0.4951,0.4764,1.0,0.5438,0.4986,0.4818,0.4459,0.4104,0.6373,0.5816,0.4955
s0_ssp245_theta5,0.6582,0.4964,0.4845,0.5913,0.4757,0.5438,1.0,0.7081,0.5808,0.682,0.5625,0.7432,0.4735,0.5909
s1_ssp245_theta5,0.5482,0.5627,0.3944,0.4518,0.4199,0.4986,0.7081,1.0,0.474,0.5229,0.5049,0.6629,0.5383,0.4517
s2_ssp245_theta5,0.5181,0.389,0.7004,0.4078,0.4215,0.4818,0.5808,0.474,1.0,0.434,0.4754,0.552,0.3808,0.4108
s3_ssp245_theta5,0.5566,0.3935,0.3732,0.7766,0.3999,0.4459,0.682,0.5229,0.434,1.0,0.4661,0.5582,0.3804,0.7688
s4_ssp245_theta3,0.4679,0.3856,0.3926,0.4226,0.7098,0.4104,0.5625,0.5049,0.4754,0.4661,1.0,0.4947,0.4437,0.4477
s5_ssp245_theta5,0.5941,0.4709,0.4688,0.4937,0.4316,0.6373,0.7432,0.6629,0.552,0.5582,0.4947,1.0,0.4555,0.4929
s1x_ssp585_theta3,0.6203,0.8243,0.4475,0.4216,0.534,0.5816,0.4735,0.5383,0.3808,0.3804,0.4437,0.4555,1.0,0.4403
s3x_ssp585_theta3,0.6246,0.4401,0.4016,0.9311,0.4554,0.4955,0.5909,0.4517,0.4108,0.7688,0.4477,0.4929,0.4403,1.0
