,human_modification,transboundary_connectivity,climate_corridors,climate_type_macrorefugia,irrecoverable_carbon_biomass,irrecoverable_carbon_m_soc,aoh_richness_mammals,aoh_richness_birds
s0_ssp585_theta5,0.2992,0.3341,0.2603,0.4521,0.3101,0.332,0.3267,0.33
s1_ssp585_theta5,0.3009,0.3055,0.2664,0.4864,0.2834,0.332,0.3209,0.3208
s2_ssp585_theta5,0.3024,0.3876,0.2824,0.4199,0.2998,0.332,0.3153,0.314
s3_ssp585_theta5,0.2963,0.3167,0.2434,0.4074,0.293,0.332,0.3383,0.3438
s4_ssp585_theta3,0.3019,0.3214,0.2841,0.4176,0.3288,0.552,0.3098,0.3082
s5_ssp585_theta5,0.3061,0.3459,0.2683,0.4571,0.3243,0.332,0.3257,0.3264
s0_ssp245_theta5,0.2988,0.3319,0.255,0.4284,0.3059,0.332,0.3301,0.3332
s1_ssp245_theta5,0.3006,0.3081,0.2581,0.4555,0.2876,0.332,0.3272,0.3269
s2_ssp245_theta5,0.302,0.3878,0.2779,0.4009,0.2911,0.332,0.3172,0.3153
s3_ssp245_theta5,0.2964,0.3165,0.2424,0.3969,0.2923,0.332,0.3388,0.3442
s4_ssp245_theta3,0.3016,0.3179,0.2797,0.3996,0.3173,0.552,0.3124,0.3105
s5_ssp245_theta5,0.3053,0.3438,0.2608,0.4339,0.3176,0.332,0.3297,0.3304
s1x_ssp585_theta3,0.3021,0.3062,0.2742,0.4769,0.2708,0.4415,0.3148,0.3128
s3x_ssp585_theta3,0.2966,0.3164,0.246,0.4066,0.2874,0.3663,0.3359,0.3409
