,human_modification,transboundary_connectivity,climate_corridors,climate_type_macrorefugia,irrecoverable_carbon_biomass,irrecoverable_carbon_m_soc,aoh_richness_mammals,aoh_richness_birds
s0_ssp585_theta5,,0.98,,1.0,0.424,0.435,,
s1_ssp585_theta5,,0.853,,1.0,0.31,0.398,,
s2_ssp585_theta5,,1.0,,1.0,0.403,0.381,,
s3_ssp585_theta5,,0.888,,0.998,0.359,0.492,,
s4_ssp585_theta3,,0.926,,1.0,0.774,0.959,,
s5_ssp585_theta5,,0.976,,1.0,0.485,0.418,,
s0_ssp245_theta5,,0.982,,1.0,0.399,0.448,,
s1_ssp245_theta5,,0.841,,1.0,0.34,0.413,,
s2_ssp245_theta5,,1.0,,0.948,0.385,0.381,,
s3_ssp245_theta5,,0.885,,0.975,0.348,0.497,,
s4_ssp245_theta3,,0.913,,0.995,0.716,0.974,,
s5_ssp245_theta5,,0.978,,0.99,0.46,0.432,,
s1x_ssp585_theta3,,0.819,,1.0,0.302,0.697,,
s3x_ssp585_theta3,,0.886,,0.999,0.353,0.584,,
