efg,cells,south_share,mean_lat
F2.3.web.mix_v2.0,222,1.0,42.36732482910156
F1.4.web.map_v1.0,93,1.0,42.505218505859375
F2.6.web.mix_v4.0,3,1.0,42.6373176574707
F1.6.web.mix_v1.0,8215,1.0,42.652042388916016
F3.4.web.orig_v1.0,5710,1.0,42.76416778564453
F2.2.web.mix_v2.0,9,1.0,42.78950881958008
T5.4.web.mix_v1.0,2234,1.0,43.93357849121094
SF2.2.web.orig_v1.0,5288,1.0,44.292076110839844
T3.4.web.mix_v1.0,149811,1.0,44.781803131103516
TF1.2.web.orig_v2.0,205540,1.0,45.44300079345703
F1.2.web.map_v1.0,23187,1.0,45.61385726928711
T5.1.web.mix_v1.0,50897,1.0,45.985416412353516
F1.1.web.mix_v2.0,1429,1.0,46.16474533081055
T7.2.web.map_v1.0,78834,0.9832432706700155,46.33180618286133
T4.4.web.orig_v1.0,33263,1.0,46.7694206237793
S2.1.web.orig_v1.0,40750,0.8515828220858895,47.01726531982422
F3.1.web.orig_v1.0,103165,0.963902486308341,47.49809646606445
F3.5.web.orig_v1.0,240086,1.0,47.81653594970703
T7.1.web.alt_v2.0,26595,0.8898665162624554,47.880043029785156
F3.2.web.orig_v1.0,283559,0.9998836221033365,48.34583282470703
F2.9.web.mix_v1.0,514094,0.817776515578863,48.91376876831055
T7.4.web.orig_v1.0,15120,0.825925925925926,49.15753936767578
F2.1.web.alt_v4.0,6075,0.9048559670781893,49.310577392578125
SF2.1.web.orig_v1.0,49671,0.9993356284351029,50.20540237426758
T7.3.web.alt_v2.0,46516,0.6835067503654656,50.31782531738281
T7.5.web.mix_v1.0,107334,0.6162725697355917,50.43492126464844
T6.1.web.map_v1.0,2730,0.7252747252747253,51.77848434448242
F2.10.web.mix_v2.0,409,0.0,53.393585205078125
T6.4.web.orig_v1.0,812880,0.47168831807892925,53.483131408691406
SF1.2.web.orig_v1.0,56842,0.3183385524788009,53.54606246948242
F1.3.web.map_v1.0,208825,0.42851670058661556,54.562461853027344
T2.2.web.mix_v1.0,11495,0.14667246628969116,54.85602569580078
T6.2.web.alt_v2.0,98830,0.415744207224527,55.737247467041016
T2.1.web.mix_v1.0,1225770,0.3517291172079591,55.98146438598633
F2.4.web.mix_v1.0,491075,0.30058137758998116,56.6406364440918
SF1.1.web.orig_v1.0,278764,0.23879338795540314,58.49741744995117
S1.1.web.orig_v1.0,278764,0.23879338795540314,58.49741744995117
T6.3.web.map_v1.0,196397,0.08042892712210471,59.487186431884766
TF1.6.web.orig_v1.0,83382,0.0037777937684392313,60.73986053466797
TF1.7.web.orig_v1.0,83382,0.0037777937684392313,60.73986053466797
