formulation_id,scenario_id,scenario_name,climate_level,carbon_regime,budget_pct,weight_vector,target_vector,influence_profile_intended,k_requested,band_gap_g,opt_gap,numeric_focus,dust_rule_version,estimator,verdict_rule,solver,seed_policy,input_layer_hashes,kbest_ref,twin_ref,created_utc,frozen
s0_ssp585_theta5,s0,S0_balanced,ssp585_2071_2100,theta5_amount,0.3,"{""climate_type_macrorefugia"": 1.460018, ""transboundary_connectivity"": 0.669317, ""climate_corridors"": 1.171387, ""irrecoverable_carbon_m_soc"": 0.464638, ""irrecoverable_carbon_biomass"": 0.19856, ""aoh_richness_birds"": 1.328571, ""aoh_richness_mammals"": 1.707509}","{""irrecoverable_carbon_m_soc"": 0.332}","{""climate_type_macrorefugia"": 0.25, ""transboundary_connectivity"": 0.125, ""climate_corridors"": 0.125, ""irrecoverable_carbon_m_soc"": 0.185492, ""irrecoverable_carbon_biomass"": 0.064508, ""aoh_richness_birds"": 0.125, ""aoh_richness_mammals"": 0.125}",50,0.05,0.0001,2,1e-9/2026-08-26,mga_maxham_v1,v2_8db80fed1c702638,gurobi,deterministic (MGA warm-start chain; no RNG),"{""human_modification"": ""7e6b5e6f5a31e09e48ff04fc8ece11b44c69178a954452058a41726ee6506295"", ""transboundary_connectivity"": ""61266bfb1b5b8dce93d7b3eb686255bf4c3c806a9196282b0ea8c7086cb75e8b"", ""climate_corridors"": ""64357eb2e006d01cc7893e393e4383d6eec14a4bd789a8d4e6872f8bb72476b6"", ""climate_type_macrorefugia"": ""6e2084b9af5560380c3086fa92ab85a2cb08ed97f877e40f1f21994285138280"", ""irrecoverable_carbon_biomass"": ""ac9f38c70010155a07a1e735d2f75811c5a34f8123c654b102cb828078edc467"", ""irrecoverable_carbon_m_soc"": ""02dcade93935c5d81b7c41fda17975c51ab09aa41f2c6667d51de45e8ab245ba"", ""aoh_richness_mammals"": ""b49fd3742b772596755ffd740e86597c94d82e6e11204a80e67d6b4c73c332c1"", ""aoh_richness_birds"": ""53ca68b7307c1927e761fc3b752c3f90e614fd7625b0cc337f79f9c4cb71dac3""}",output_data/iter9_y2y_s0_pool,output_data/iter9_y2y_s0_lp,2026-08-31T01:03:15.927829+00:00,True
s1_ssp585_theta5,s1,S1_core_habitat,ssp585_2071_2100,theta5_amount,0.3,"{""climate_type_macrorefugia"": 3.090749, ""transboundary_connectivity"": 0.472299, ""climate_corridors"": 0.826581, ""irrecoverable_carbon_m_soc"": 0.327869, ""irrecoverable_carbon_biomass"": 0.140112, ""aoh_richness_birds"": 0.937497, ""aoh_richness_mammals"": 1.204892}","{""irrecoverable_carbon_m_soc"": 0.332}","{""climate_type_macrorefugia"": 0.5, ""transboundary_connectivity"": 0.083333, ""climate_corridors"": 0.083333, ""irrecoverable_carbon_m_soc"": 0.123661, ""irrecoverable_carbon_biomass"": 0.043006, ""aoh_richness_birds"": 0.083333, ""aoh_richness_mammals"": 0.083333}",50,0.05,0.0001,2,1e-9/2026-08-26,mga_maxham_v1,v2_8db80fed1c702638,gurobi,deterministic (MGA warm-start chain; no RNG),"{""human_modification"": ""7e6b5e6f5a31e09e48ff04fc8ece11b44c69178a954452058a41726ee6506295"", ""transboundary_connectivity"": ""61266bfb1b5b8dce93d7b3eb686255bf4c3c806a9196282b0ea8c7086cb75e8b"", ""climate_corridors"": ""64357eb2e006d01cc7893e393e4383d6eec14a4bd789a8d4e6872f8bb72476b6"", ""climate_type_macrorefugia"": ""6e2084b9af5560380c3086fa92ab85a2cb08ed97f877e40f1f21994285138280"", ""irrecoverable_carbon_biomass"": ""ac9f38c70010155a07a1e735d2f75811c5a34f8123c654b102cb828078edc467"", ""irrecoverable_carbon_m_soc"": ""02dcade93935c5d81b7c41fda17975c51ab09aa41f2c6667d51de45e8ab245ba"", ""aoh_richness_mammals"": ""b49fd3742b772596755ffd740e86597c94d82e6e11204a80e67d6b4c73c332c1"", ""aoh_richness_birds"": ""53ca68b7307c1927e761fc3b752c3f90e614fd7625b0cc337f79f9c4cb71dac3""}",,,2026-08-31T01:03:15.927829+00:00,True
s2_ssp585_theta5,s2,S2_connectivity,ssp585_2071_2100,theta5_amount,0.3,"{""climate_type_macrorefugia"": 0.956815, ""transboundary_connectivity"": 1.315898, ""climate_corridors"": 2.302983, ""irrecoverable_carbon_m_soc"": 0.304498, ""irrecoverable_carbon_biomass"": 0.130125, ""aoh_richness_birds"": 0.870672, ""aoh_richness_mammals"": 1.119007}","{""irrecoverable_carbon_m_soc"": 0.332}","{""climate_type_macrorefugia"": 0.166667, ""transboundary_connectivity"": 0.25, ""climate_corridors"": 0.25, ""irrecoverable_carbon_m_soc"": 0.123661, ""irrecoverable_carbon_biomass"": 0.043006, ""aoh_richness_birds"": 0.083333, ""aoh_richness_mammals"": 0.083333}",50,0.05,0.0001,2,1e-9/2026-08-26,mga_maxham_v1,v2_8db80fed1c702638,gurobi,deterministic (MGA warm-start chain; no RNG),"{""human_modification"": ""7e6b5e6f5a31e09e48ff04fc8ece11b44c69178a954452058a41726ee6506295"", ""transboundary_connectivity"": ""61266bfb1b5b8dce93d7b3eb686255bf4c3c806a9196282b0ea8c7086cb75e8b"", ""climate_corridors"": ""64357eb2e006d01cc7893e393e4383d6eec14a4bd789a8d4e6872f8bb72476b6"", ""climate_type_macrorefugia"": ""6e2084b9af5560380c3086fa92ab85a2cb08ed97f877e40f1f21994285138280"", ""irrecoverable_carbon_biomass"": ""ac9f38c70010155a07a1e735d2f75811c5a34f8123c654b102cb828078edc467"", ""irrecoverable_carbon_m_soc"": ""02dcade93935c5d81b7c41fda17975c51ab09aa41f2c6667d51de45e8ab245ba"", ""aoh_richness_mammals"": ""b49fd3742b772596755ffd740e86597c94d82e6e11204a80e67d6b4c73c332c1"", ""aoh_richness_birds"": ""53ca68b7307c1927e761fc3b752c3f90e614fd7625b0cc337f79f9c4cb71dac3""}",,,2026-08-31T01:03:15.927829+00:00,True
s3_ssp585_theta5,s3,S3_biodiversity,ssp585_2071_2100,theta5_amount,0.3,"{""climate_type_macrorefugia"": 0.781825, ""transboundary_connectivity"": 0.358413, ""climate_corridors"": 0.627266, ""irrecoverable_carbon_m_soc"": 0.248809, ""irrecoverable_carbon_biomass"": 0.106327, ""aoh_richness_birds"": 2.134305, ""aoh_richness_mammals"": 2.743056}","{""irrecoverable_carbon_m_soc"": 0.332}","{""climate_type_macrorefugia"": 0.166667, ""transboundary_connectivity"": 0.083333, ""climate_corridors"": 0.083333, ""irrecoverable_carbon_m_soc"": 0.123661, ""irrecoverable_carbon_biomass"": 0.043006, ""aoh_richness_birds"": 0.25, ""aoh_richness_mammals"": 0.25}",50,0.05,0.0001,2,1e-9/2026-08-26,mga_maxham_v1,v2_8db80fed1c702638,gurobi,deterministic (MGA warm-start chain; no RNG),"{""human_modification"": ""7e6b5e6f5a31e09e48ff04fc8ece11b44c69178a954452058a41726ee6506295"", ""transboundary_connectivity"": ""61266bfb1b5b8dce93d7b3eb686255bf4c3c806a9196282b0ea8c7086cb75e8b"", ""climate_corridors"": ""64357eb2e006d01cc7893e393e4383d6eec14a4bd789a8d4e6872f8bb72476b6"", ""climate_type_macrorefugia"": ""6e2084b9af5560380c3086fa92ab85a2cb08ed97f877e40f1f21994285138280"", ""irrecoverable_carbon_biomass"": ""ac9f38c70010155a07a1e735d2f75811c5a34f8123c654b102cb828078edc467"", ""irrecoverable_carbon_m_soc"": ""02dcade93935c5d81b7c41fda17975c51ab09aa41f2c6667d51de45e8ab245ba"", ""aoh_richness_mammals"": ""b49fd3742b772596755ffd740e86597c94d82e6e11204a80e67d6b4c73c332c1"", ""aoh_richness_birds"": ""53ca68b7307c1927e761fc3b752c3f90e614fd7625b0cc337f79f9c4cb71dac3""}",,,2026-08-31T01:03:15.927829+00:00,True
s4_ssp585_theta3,s4,S4_carbon,ssp585_2071_2100,theta3_places,0.3,"{""climate_type_macrorefugia"": 1.2287, ""transboundary_connectivity"": 0.563274, ""climate_corridors"": 0.985798, ""irrecoverable_carbon_m_soc"": 1.165868, ""irrecoverable_carbon_biomass"": 0.501302, ""aoh_richness_birds"": 1.118079, ""aoh_richness_mammals"": 1.436979}","{""irrecoverable_carbon_m_soc"": 0.552}","{""climate_type_macrorefugia"": 0.166667, ""transboundary_connectivity"": 0.083333, ""climate_corridors"": 0.083333, ""irrecoverable_carbon_m_soc"": 0.370983, ""irrecoverable_carbon_biomass"": 0.129017, ""aoh_richness_birds"": 0.083333, ""aoh_richness_mammals"": 0.083333}",50,0.05,0.0001,2,1e-9/2026-08-26,mga_maxham_v1,v2_8db80fed1c702638,gurobi,deterministic (MGA warm-start chain; no RNG),"{""human_modification"": ""7e6b5e6f5a31e09e48ff04fc8ece11b44c69178a954452058a41726ee6506295"", ""transboundary_connectivity"": ""61266bfb1b5b8dce93d7b3eb686255bf4c3c806a9196282b0ea8c7086cb75e8b"", ""climate_corridors"": ""64357eb2e006d01cc7893e393e4383d6eec14a4bd789a8d4e6872f8bb72476b6"", ""climate_type_macrorefugia"": ""6e2084b9af5560380c3086fa92ab85a2cb08ed97f877e40f1f21994285138280"", ""irrecoverable_carbon_biomass"": ""ac9f38c70010155a07a1e735d2f75811c5a34f8123c654b102cb828078edc467"", ""irrecoverable_carbon_m_soc"": ""02dcade93935c5d81b7c41fda17975c51ab09aa41f2c6667d51de45e8ab245ba"", ""aoh_richness_mammals"": ""b49fd3742b772596755ffd740e86597c94d82e6e11204a80e67d6b4c73c332c1"", ""aoh_richness_birds"": ""53ca68b7307c1927e761fc3b752c3f90e614fd7625b0cc337f79f9c4cb71dac3""}",,,2026-08-31T01:03:15.927829+00:00,True
s5_ssp585_theta5,s5,S5_intactness,ssp585_2071_2100,theta5_amount,0.3,"{""climate_type_macrorefugia"": 1.460018, ""transboundary_connectivity"": 0.669317, ""climate_corridors"": 1.171387, ""irrecoverable_carbon_m_soc"": 0.464638, ""irrecoverable_carbon_biomass"": 0.19856, ""aoh_richness_birds"": 1.328571, ""aoh_richness_mammals"": 1.707509, ""human_modification"": 10.0}","{""irrecoverable_carbon_m_soc"": 0.332}","{""climate_type_macrorefugia"": 0.25, ""transboundary_connectivity"": 0.125, ""climate_corridors"": 0.125, ""irrecoverable_carbon_m_soc"": 0.185492, ""irrecoverable_carbon_biomass"": 0.064508, ""aoh_richness_birds"": 0.125, ""aoh_richness_mammals"": 0.125}",50,0.05,0.0001,2,1e-9/2026-08-26,mga_maxham_v1,v2_8db80fed1c702638,gurobi,deterministic (MGA warm-start chain; no RNG),"{""human_modification"": ""7e6b5e6f5a31e09e48ff04fc8ece11b44c69178a954452058a41726ee6506295"", ""transboundary_connectivity"": ""61266bfb1b5b8dce93d7b3eb686255bf4c3c806a9196282b0ea8c7086cb75e8b"", ""climate_corridors"": ""64357eb2e006d01cc7893e393e4383d6eec14a4bd789a8d4e6872f8bb72476b6"", ""climate_type_macrorefugia"": ""6e2084b9af5560380c3086fa92ab85a2cb08ed97f877e40f1f21994285138280"", ""irrecoverable_carbon_biomass"": ""ac9f38c70010155a07a1e735d2f75811c5a34f8123c654b102cb828078edc467"", ""irrecoverable_carbon_m_soc"": ""02dcade93935c5d81b7c41fda17975c51ab09aa41f2c6667d51de45e8ab245ba"", ""aoh_richness_mammals"": ""b49fd3742b772596755ffd740e86597c94d82e6e11204a80e67d6b4c73c332c1"", ""aoh_richness_birds"": ""53ca68b7307c1927e761fc3b752c3f90e614fd7625b0cc337f79f9c4cb71dac3""}",,,2026-08-31T01:03:15.927829+00:00,True
s0_ssp245_theta5,s0,S0_balanced,ssp245_2071_2100,theta5_amount,0.3,"{""climate_type_macrorefugia"": 1.312858, ""transboundary_connectivity"": 0.687096, ""climate_corridors"": 1.202503, ""irrecoverable_carbon_m_soc"": 0.476981, ""irrecoverable_carbon_biomass"": 0.203834, ""aoh_richness_birds"": 1.363862, ""aoh_richness_mammals"": 1.752866}","{""irrecoverable_carbon_m_soc"": 0.332}","{""climate_type_macrorefugia"": 0.25, ""transboundary_connectivity"": 0.125, ""climate_corridors"": 0.125, ""irrecoverable_carbon_m_soc"": 0.185492, ""irrecoverable_carbon_biomass"": 0.064508, ""aoh_richness_birds"": 0.125, ""aoh_richness_mammals"": 0.125}",50,0.05,0.0001,2,1e-9/2026-08-26,mga_maxham_v1,v2_8db80fed1c702638,gurobi,deterministic (MGA warm-start chain; no RNG),"{""human_modification"": ""7e6b5e6f5a31e09e48ff04fc8ece11b44c69178a954452058a41726ee6506295"", ""transboundary_connectivity"": ""61266bfb1b5b8dce93d7b3eb686255bf4c3c806a9196282b0ea8c7086cb75e8b"", ""climate_corridors"": ""64357eb2e006d01cc7893e393e4383d6eec14a4bd789a8d4e6872f8bb72476b6"", ""climate_type_macrorefugia"": ""813c6cf9937fc8d93e6169774becc6a71bc62d5ecda53883cd426f4ba49f1881"", ""irrecoverable_carbon_biomass"": ""ac9f38c70010155a07a1e735d2f75811c5a34f8123c654b102cb828078edc467"", ""irrecoverable_carbon_m_soc"": ""02dcade93935c5d81b7c41fda17975c51ab09aa41f2c6667d51de45e8ab245ba"", ""aoh_richness_mammals"": ""b49fd3742b772596755ffd740e86597c94d82e6e11204a80e67d6b4c73c332c1"", ""aoh_richness_birds"": ""53ca68b7307c1927e761fc3b752c3f90e614fd7625b0cc337f79f9c4cb71dac3""}",,,2026-08-31T01:03:15.927829+00:00,True
s1_ssp245_theta5,s1,S1_core_habitat,ssp245_2071_2100,theta5_amount,0.3,"{""climate_type_macrorefugia"": 2.864201, ""transboundary_connectivity"": 0.49967, ""climate_corridors"": 0.874483, ""irrecoverable_carbon_m_soc"": 0.34687, ""irrecoverable_carbon_biomass"": 0.148232, ""aoh_richness_birds"": 0.991827, ""aoh_richness_mammals"": 1.274718}","{""irrecoverable_carbon_m_soc"": 0.332}","{""climate_type_macrorefugia"": 0.5, ""transboundary_connectivity"": 0.083333, ""climate_corridors"": 0.083333, ""irrecoverable_carbon_m_soc"": 0.123661, ""irrecoverable_carbon_biomass"": 0.043006, ""aoh_richness_birds"": 0.083333, ""aoh_richness_mammals"": 0.083333}",50,0.05,0.0001,2,1e-9/2026-08-26,mga_maxham_v1,v2_8db80fed1c702638,gurobi,deterministic (MGA warm-start chain; no RNG),"{""human_modification"": ""7e6b5e6f5a31e09e48ff04fc8ece11b44c69178a954452058a41726ee6506295"", ""transboundary_connectivity"": ""61266bfb1b5b8dce93d7b3eb686255bf4c3c806a9196282b0ea8c7086cb75e8b"", ""climate_corridors"": ""64357eb2e006d01cc7893e393e4383d6eec14a4bd789a8d4e6872f8bb72476b6"", ""climate_type_macrorefugia"": ""813c6cf9937fc8d93e6169774becc6a71bc62d5ecda53883cd426f4ba49f1881"", ""irrecoverable_carbon_biomass"": ""ac9f38c70010155a07a1e735d2f75811c5a34f8123c654b102cb828078edc467"", ""irrecoverable_carbon_m_soc"": ""02dcade93935c5d81b7c41fda17975c51ab09aa41f2c6667d51de45e8ab245ba"", ""aoh_richness_mammals"": ""b49fd3742b772596755ffd740e86597c94d82e6e11204a80e67d6b4c73c332c1"", ""aoh_richness_birds"": ""53ca68b7307c1927e761fc3b752c3f90e614fd7625b0cc337f79f9c4cb71dac3""}",,,2026-08-31T01:03:15.927829+00:00,True
s2_ssp245_theta5,s2,S2_connectivity,ssp245_2071_2100,theta5_amount,0.3,"{""climate_type_macrorefugia"": 0.852569, ""transboundary_connectivity"": 1.338598, ""climate_corridors"": 2.34271, ""irrecoverable_carbon_m_soc"": 0.309751, ""irrecoverable_carbon_biomass"": 0.13237, ""aoh_richness_birds"": 0.885692, ""aoh_richness_mammals"": 1.13831}","{""irrecoverable_carbon_m_soc"": 0.332}","{""climate_type_macrorefugia"": 0.166667, ""transboundary_connectivity"": 0.25, ""climate_corridors"": 0.25, ""irrecoverable_carbon_m_soc"": 0.123661, ""irrecoverable_carbon_biomass"": 0.043006, ""aoh_richness_birds"": 0.083333, ""aoh_richness_mammals"": 0.083333}",50,0.05,0.0001,2,1e-9/2026-08-26,mga_maxham_v1,v2_8db80fed1c702638,gurobi,deterministic (MGA warm-start chain; no RNG),"{""human_modification"": ""7e6b5e6f5a31e09e48ff04fc8ece11b44c69178a954452058a41726ee6506295"", ""transboundary_connectivity"": ""61266bfb1b5b8dce93d7b3eb686255bf4c3c806a9196282b0ea8c7086cb75e8b"", ""climate_corridors"": ""64357eb2e006d01cc7893e393e4383d6eec14a4bd789a8d4e6872f8bb72476b6"", ""climate_type_macrorefugia"": ""813c6cf9937fc8d93e6169774becc6a71bc62d5ecda53883cd426f4ba49f1881"", ""irrecoverable_carbon_biomass"": ""ac9f38c70010155a07a1e735d2f75811c5a34f8123c654b102cb828078edc467"", ""irrecoverable_carbon_m_soc"": ""02dcade93935c5d81b7c41fda17975c51ab09aa41f2c6667d51de45e8ab245ba"", ""aoh_richness_mammals"": ""b49fd3742b772596755ffd740e86597c94d82e6e11204a80e67d6b4c73c332c1"", ""aoh_richness_birds"": ""53ca68b7307c1927e761fc3b752c3f90e614fd7625b0cc337f79f9c4cb71dac3""}",,,2026-08-31T01:03:15.927829+00:00,True
s3_ssp245_theta5,s3,S3_biodiversity,ssp245_2071_2100,theta5_amount,0.3,"{""climate_type_macrorefugia"": 0.694453, ""transboundary_connectivity"": 0.363449, ""climate_corridors"": 0.63608, ""irrecoverable_carbon_m_soc"": 0.252305, ""irrecoverable_carbon_biomass"": 0.107821, ""aoh_richness_birds"": 2.164294, ""aoh_richness_mammals"": 2.781598}","{""irrecoverable_carbon_m_soc"": 0.332}","{""climate_type_macrorefugia"": 0.166667, ""transboundary_connectivity"": 0.083333, ""climate_corridors"": 0.083333, ""irrecoverable_carbon_m_soc"": 0.123661, ""irrecoverable_carbon_biomass"": 0.043006, ""aoh_richness_birds"": 0.25, ""aoh_richness_mammals"": 0.25}",50,0.05,0.0001,2,1e-9/2026-08-26,mga_maxham_v1,v2_8db80fed1c702638,gurobi,deterministic (MGA warm-start chain; no RNG),"{""human_modification"": ""7e6b5e6f5a31e09e48ff04fc8ece11b44c69178a954452058a41726ee6506295"", ""transboundary_connectivity"": ""61266bfb1b5b8dce93d7b3eb686255bf4c3c806a9196282b0ea8c7086cb75e8b"", ""climate_corridors"": ""64357eb2e006d01cc7893e393e4383d6eec14a4bd789a8d4e6872f8bb72476b6"", ""climate_type_macrorefugia"": ""813c6cf9937fc8d93e6169774becc6a71bc62d5ecda53883cd426f4ba49f1881"", ""irrecoverable_carbon_biomass"": ""ac9f38c70010155a07a1e735d2f75811c5a34f8123c654b102cb828078edc467"", ""irrecoverable_carbon_m_soc"": ""02dcade93935c5d81b7c41fda17975c51ab09aa41f2c6667d51de45e8ab245ba"", ""aoh_richness_mammals"": ""b49fd3742b772596755ffd740e86597c94d82e6e11204a80e67d6b4c73c332c1"", ""aoh_richness_birds"": ""53ca68b7307c1927e761fc3b752c3f90e614fd7625b0cc337f79f9c4cb71dac3""}",,,2026-08-31T01:03:15.927829+00:00,True
