,s0_ssp585_theta5,s1_ssp585_theta5,s2_ssp585_theta5,s3_ssp585_theta5,s4_ssp585_theta3,s5_ssp585_theta5,s0_ssp245_theta5,s1_ssp245_theta5,s2_ssp245_theta5,s3_ssp245_theta5,s4_ssp245_theta3,s5_ssp245_theta5
s0_ssp585_theta5,1.0,0.6304,0.4719,0.4748,0.52,0.7868,0.5786,0.4754,0.4138,0.4052,0.418,0.5746
s1_ssp585_theta5,0.6304,1.0,0.3589,0.3399,0.398,0.5905,0.4331,0.4949,0.2932,0.2832,0.3125,0.4277
s2_ssp585_theta5,0.4719,0.3589,1.0,0.2331,0.3791,0.4989,0.3631,0.2841,0.6629,0.2034,0.3042,0.3884
s3_ssp585_theta5,0.4748,0.3399,0.2331,1.0,0.339,0.3935,0.4956,0.393,0.2552,0.7355,0.3533,0.4339
s4_ssp585_theta3,0.52,0.398,0.3791,0.339,1.0,0.4803,0.4283,0.3537,0.3403,0.297,0.6609,0.4253
s5_ssp585_theta5,0.7868,0.5905,0.4989,0.3935,0.4803,1.0,0.512,0.4289,0.4105,0.3411,0.3832,0.5795
s0_ssp245_theta5,0.5786,0.4331,0.3631,0.4956,0.4283,0.512,1.0,0.6921,0.4465,0.549,0.5303,0.8078
s1_ssp245_theta5,0.4754,0.4949,0.2841,0.393,0.3537,0.4289,0.6921,1.0,0.3546,0.4413,0.4431,0.6292
s2_ssp245_theta5,0.4138,0.2932,0.6629,0.2552,0.3403,0.4105,0.4465,0.3546,1.0,0.2639,0.3804,0.4661
s3_ssp245_theta5,0.4052,0.2832,0.2034,0.7355,0.297,0.3411,0.549,0.4413,0.2639,1.0,0.3767,0.47
s4_ssp245_theta3,0.418,0.3125,0.3042,0.3533,0.6609,0.3832,0.5303,0.4431,0.3804,0.3767,1.0,0.4934
s5_ssp245_theta5,0.5746,0.4277,0.3884,0.4339,0.4253,0.5795,0.8078,0.6292,0.4661,0.47,0.4934,1.0
