,s0_ssp585_theta5,s1_ssp585_theta5,s2_ssp585_theta5,s3_ssp585_theta5,s4_ssp585_theta3,s5_ssp585_theta5,s0_ssp245_theta5,s1_ssp245_theta5,s2_ssp245_theta5,s3_ssp245_theta5,s4_ssp245_theta3,s5_ssp245_theta5
s0_ssp585_theta5,0.0,0.00928,0.01116,0.00803,0.08538,0.00164,0.01087,0.03317,0.01588,0.01554,0.09744,0.00541
s1_ssp585_theta5,0.00503,-0.0,0.02193,0.01591,0.09497,0.00394,0.0194,0.03084,0.02893,0.02527,0.11036,0.00924
s2_ssp585_theta5,0.01394,0.04088,0.0,0.02904,0.10135,0.00548,0.02615,0.0692,0.00504,0.0374,0.11469,0.00981
s3_ssp585_theta5,0.01103,0.03913,0.02958,-0.0,0.09648,0.00861,0.01425,0.04687,0.02963,0.00328,0.10158,0.00901
s4_ssp585_theta3,0.02058,0.04279,0.02108,0.03033,0.0,0.00961,0.03069,0.06591,0.02508,0.03753,0.0081,0.01301
s5_ssp585_theta5,0.00205,0.01245,0.01021,0.01176,0.08746,-0.0,0.01482,0.04078,0.01605,0.02027,0.10124,0.0046
s0_ssp245_theta5,0.00764,0.02601,0.01954,0.00872,0.09318,0.00584,-0.0,0.00805,0.01269,0.00671,0.08842,0.00149
s1_ssp245_theta5,0.01286,0.02099,0.0299,0.0151,0.10181,0.00842,0.00425,0.0,0.02252,0.01263,0.09626,0.00364
s2_ssp245_theta5,0.0195,0.05306,0.00485,0.03059,0.10695,0.00856,0.01592,0.04559,0.0,0.03086,0.10593,0.00596
s3_ssp245_theta5,0.0168,0.05036,0.03456,0.00241,0.1027,0.01129,0.00894,0.03304,0.02766,0.0,0.09774,0.00682
s4_ssp245_theta3,0.02687,0.05598,0.02755,0.03155,0.00663,0.0131,0.02077,0.04236,0.0214,0.03043,-0.0,0.00938
s5_ssp245_theta5,0.0084,0.02757,0.01765,0.01124,0.09368,0.00364,0.0024,0.01344,0.01177,0.0101,0.0904,0.0
