code,feature,n_unlocked,n_forms_forced_guarded,min_capture_guarded,n_forms_forced_unguarded,pct_of_unlocked_class_in_core
T6.1,T6.1.web.map_v1.0,1402,0,0.1355206847360913,0,18.972895863052784
F1.1,F1.1.web.mix_v2.0,1419,0,0.0,0,0.0
T5.4,T5.4.web.mix_v1.0,2234,0,0.01342882721575649,0,0.0
F2.1,F2.1.web.alt_v4.0,4868,0,0.0049301561216105174,0,0.43138866064092024
F1.6,F1.6.web.mix_v1.0,6632,0,0.0824788902291918,0,0.6031363088057901
T2.2,T2.2.web.mix_v1.0,11452,0,0.003318197694725812,0,0.0
F1.2,F1.2.web.map_v1.0,19671,0,0.01957195872095979,0,0.9455543693762392
T4.4,T4.4.web.orig_v1.0,29688,0,0.08969954190245216,0,7.252088385879817
T5.1,T5.1.web.mix_v1.0,50672,0,0.014899747395011051,0,0.33943795389958953
SF1.2,SF1.2.web.orig_v1.0,53391,0,0.0663033095465528,0,0.05618924537843456
T6.2,T6.2.web.alt_v2.0,69157,0,0.1941524357621065,0,14.364417195656259
TF1.6_TF1.7,TF1.6_TF1.7.web.merged_v3,77755,0,0.026647803999742783,0,0.051443637065140504
T3.4,T3.4.web.mix_v1.0,105635,0,0.07884697306763856,0,4.0166611445070295
T6.3,T6.3.web.map_v1.0,157240,0,0.04681378784024421,0,4.896972780462987
TF1.2,TF1.2.web.orig_v2.0,162465,0,0.0578032191548949,0,3.224694549595297
F1.3,F1.3.web.map_v1.0,176658,0,0.15008094736722932,0,2.549559034971527
S1.1_SF1.1,S1.1_SF1.1.web.merged_v3,215940,0,0.10566361026210984,0,2.5548763545429285
F2.4,F2.4.web.mix_v1.0,416548,0,0.14905605116337134,0,2.4904692856525537
T6.4,T6.4.web.orig_v1.0,663316,0,0.17029590722973664,0,4.232522658883549
T2.1,T2.1.web.mix_v1.0,1034966,0,0.17512072860364494,0,2.804150088022215
