formulation,jaccard_with_vs_without_EFG,lat_with,lat_without,core_cells_dropped_without_EFG,t2_status,t2_gap
s0_ssp585_theta5,0.9193712222546289,52.92643737792969,53.0699577331543,34,OPTIMAL,0.0001
s1_ssp585_theta5,0.9236855898717845,52.5700798034668,52.675533294677734,0,OPTIMAL,0.0002
s2_ssp585_theta5,0.9459186638728722,56.358619689941406,56.54410171508789,26,OPTIMAL,2.3749e-08
s3_ssp585_theta5,0.9298618168580399,50.34812927246094,50.405555725097656,73,OPTIMAL,2.9793e-07
s4_ssp585_theta3,0.9297349767940383,55.70616912841797,55.91865539550781,74,OPTIMAL,4.6154e-06
s5_ssp585_theta5,0.9093378420965749,53.52920913696289,53.74607849121094,48,OPTIMAL,0.0
s0_ssp245_theta5,0.9303986324509675,51.97975158691406,52.06812286376953,18,OPTIMAL,0.0001
s1_ssp245_theta5,0.9420078964506675,51.547298431396484,51.566627502441406,0,OPTIMAL,0.0001
s2_ssp245_theta5,0.9296374188590726,56.02143096923828,56.132537841796875,52,OPTIMAL,0.0001
s3_ssp245_theta5,0.9361465767808501,50.04454803466797,50.09223175048828,31,OPTIMAL,5.5366e-08
s4_ssp245_theta3,0.9309064419195241,55.19414138793945,55.36467742919922,43,OPTIMAL,6.1141e-07
s5_ssp245_theta5,0.9233753930500685,52.50017166137695,52.64031982421875,1,OPTIMAL,0.0
