,registered,pf4,locked_only,delta_pf4_minus_registered_pts
human_modification,0.30585714088496396,0.30528908315386266,0.1550002460804126,-0.05680577311013013
transboundary_connectivity,0.3542246336399612,0.38612961249390587,0.14932034976347894,3.1904978853944668
climate_corridors,0.2811783897474507,0.26691181183258084,0.14275511020887854,-1.426657791486985
climate_type_macrorefugia,0.47421549245691796,0.453986584937864,0.1916639009547981,-2.0228907519053987
irrecoverable_carbon_biomass,0.3718199245923812,0.34381961547334206,0.12255610701016842,-2.800030911903917
irrecoverable_carbon_m_soc,0.3320032052487363,0.331993925103972,0.17637122346878273,-0.0009280144764256537
aoh_richness_mammals,0.32603994118334256,0.3306121113296668,0.15910148413544126,0.4572170146324217
aoh_richness_birds,0.32941830937600014,0.3337639316934932,0.15293635706775793,0.4345622317493081
EFG block (mean of 20 captures),0.33559313215755676,0.34593204910121045,0.15894053312266582,1.0338916943653687
"EFG block (mean capture / target, capped at 1)",1.0,0.9999993297676975,0.7194463306295497,-6.702323025464807e-05
EFG targets met (of 20),20.0,19.0,12.0,-1.0
