,registered,pf4,locked_only,target,registered_met,pf4_met,locked_only_met
F1.1.web.mix_v2.0,0.5021097046413502,0.5016408813877168,0.008907641819034223,0.5013,True,True,False
F1.2.web.map_v1.0,0.24510612765319134,0.3195079876996925,0.1454286357158929,0.2451,True,True,False
F1.3.web.map_v1.0,0.3196456362983359,0.31699748593319765,0.15403807015443552,0.1,True,True,True
F1.6.web.mix_v1.0,0.3573513955389466,0.31717855891626767,0.20541866168398926,0.1009,True,True,True
F2.1.web.alt_v4.0,0.49135802469135803,0.49119341563786006,0.19868312757201645,0.4912,True,False,False
F2.4.web.mix_v1.0,0.3141190391847994,0.2942259136713421,0.14895047445337997,0.1,True,True,True
S1.1_SF1.1.web.merged_v3,0.3247621644114735,0.31997675453071417,0.22536625963180323,0.1,True,True,True
SF1.2.web.orig_v1.0,0.19471786551288986,0.22197584279790877,0.062213809266270056,0.1,True,True,False
T2.1.web.mix_v1.0,0.31697621325776637,0.3150485216711412,0.1505764715792384,0.1,True,True,True
T2.2.web.mix_v1.0,0.1476285513031228,0.1476285513031228,0.002817562808170932,0.1476,True,True,False
T3.4.web.mix_v1.0,0.45966945238031665,0.5052866259044669,0.2948762448936,0.1094,True,True,True
T4.4.web.orig_v1.0,0.32513603703815047,0.3984306887532694,0.10747677599735442,0.1,True,True,True
T5.1.web.mix_v1.0,0.10001029215003014,0.15544087159807685,0.0039257200829253235,0.1,True,True,False
T5.4.web.mix_v1.0,0.10492274523895077,0.10492274523895077,0.0,0.1046,True,True,False
T6.1.web.map_v1.0,0.6355311355311355,0.63003663003663,0.48644688644688644,0.3588,True,True,True
T6.2.web.alt_v2.0,0.584104016998887,0.5672670241829404,0.3002428412425377,0.1,True,True,True
T6.3.web.map_v1.0,0.3644505771473088,0.32755082816947306,0.19937677255762562,0.1,True,True,True
T6.4.web.orig_v1.0,0.41366930268109126,0.39851099482596425,0.20521041568673565,0.1,True,True,True
TF1.2.web.orig_v2.0,0.36016833706334533,0.4299892964873017,0.2095699133988518,0.1,True,True,True
TF1.6_TF1.7.web.merged_v3,0.150426024428684,0.1558313632781718,0.06928437746256895,0.1,True,True,False
