,human_modification,transboundary_connectivity,climate_corridors,climate_type_macrorefugia,irrecoverable_carbon_biomass,irrecoverable_carbon_m_soc,aoh_richness_mammals,aoh_richness_birds
s0_ssp585_theta5,0.3059,0.3542,0.2812,0.4742,0.3718,0.332,0.326,0.3294
s1_ssp585_theta5,0.3057,0.3138,0.2793,0.5039,0.3041,0.332,0.3198,0.3186
s2_ssp585_theta5,0.3087,0.4134,0.3127,0.4251,0.3264,0.332,0.3073,0.3031
s3_ssp585_theta5,0.3032,0.3393,0.2526,0.425,0.3591,0.332,0.347,0.3524
s4_ssp585_theta3,0.3072,0.3408,0.2989,0.4321,0.3907,0.552,0.3095,0.3084
s5_ssp585_theta5,0.309,0.3533,0.2884,0.47,0.3676,0.332,0.3222,0.3238
s0_ssp245_theta5,0.3048,0.3516,0.2712,0.449,0.361,0.332,0.3313,0.3346
s1_ssp245_theta5,0.3045,0.317,0.2679,0.4693,0.3089,0.332,0.3272,0.3268
s2_ssp245_theta5,0.3079,0.4157,0.3072,0.4067,0.3196,0.332,0.3095,0.3052
s3_ssp245_theta5,0.3031,0.3367,0.2498,0.4091,0.3462,0.332,0.3482,0.353
s4_ssp245_theta3,0.3063,0.3376,0.2927,0.4127,0.3791,0.552,0.3127,0.3118
s5_ssp245_theta5,0.308,0.3534,0.2774,0.4463,0.3622,0.332,0.3281,0.3302
