efg,cells,south_share,mean_lat
F1.6.web.mix_v1.0,8215,1.0,42.652042388916016
T5.4.web.mix_v1.0,2234,1.0,43.93357849121094
T3.4.web.mix_v1.0,149811,1.0,44.781803131103516
TF1.2.web.orig_v2.0,205540,1.0,45.44300079345703
F1.2.web.map_v1.0,23187,1.0,45.61385726928711
T5.1.web.mix_v1.0,50897,1.0,45.985416412353516
F1.1.web.mix_v2.0,1429,1.0,46.16474533081055
T4.4.web.orig_v1.0,33263,1.0,46.7694206237793
F2.1.web.alt_v4.0,6075,0.9048559670781893,49.310577392578125
T6.1.web.map_v1.0,2730,0.7252747252747253,51.77848434448242
T6.4.web.orig_v1.0,812880,0.47168831807892925,53.483131408691406
SF1.2.web.orig_v1.0,56842,0.3183385524788009,53.54606246948242
F1.3.web.map_v1.0,208825,0.42851670058661556,54.562461853027344
T2.2.web.mix_v1.0,11495,0.14667246628969116,54.85602569580078
T6.2.web.alt_v2.0,98830,0.415744207224527,55.737247467041016
T2.1.web.mix_v1.0,1225770,0.3517291172079591,55.98146438598633
F2.4.web.mix_v1.0,491075,0.30058137758998116,56.6406364440918
S1.1_SF1.1.web.merged_v3,278764,0.23879338795540314,58.49741744995117
T6.3.web.map_v1.0,196397,0.08042892712210471,59.487186431884766
TF1.6_TF1.7.web.merged_v3,83382,0.0037777937684392313,60.73986053466797
