feature,code,extent_km2,window100_km2,window100_pct,target_window100,window250_km2,window250_pct,target_window250,window500_km2,window500_pct,target_window500,share_of_window250_inside_extent,rare_window,rare_window100,rare_window500,target_on_extent_v3,target_v31
F1.1.web.mix_v2.0,F1.1,4228,10009,0.41099946084294925,0.6245312155146336,21318,0.5589841267177527,0.5012920224188846,79329,1.2445748216500072,0.28710110529578436,0.1983300497232386,True,True,False,0.9418,0.5012920224188846
F2.1.web.alt_v4.0,F2.1,8847,14058,0.5772635048986093,0.5691588691350595,22674,0.5945401111360504,0.4912402630346845,26806,0.42055329916108986,0.46395288986368266,0.3901825879862397,True,True,True,0.7059,0.4912402630346845
T6.1.web.map_v1.0,T6.1,10714,25550,1.049159379012624,0.4717750196239807,51084,1.3394851829087941,0.35884283966982244,112452,1.7642341116639138,0.23022658662912254,0.20973298880275623,False,False,False,0.8363,0.35884283966982244
F1.2.web.map_v1.0,F1.2,35600,62474,2.5653691993907897,0.32603427271706764,102648,2.691556554992207,0.24509560863698987,175966,2.7606909587473076,0.15724084905706892,0.3468163042631128,False,False,False,0.4876,0.24509560863698987
T2.2.web.mix_v1.0,T2.2,20813,75061,3.0822290468910594,0.2961154552247157,186703,4.895581828060069,0.14758661211311452,392508,6.157969646613484,0.1,0.11147651617810105,False,False,False,0.602,0.14758661211311452
T3.4.web.mix_v1.0,T3.4,153516,165888,6.811857184565408,0.16685427206722103,235988,6.187895022791491,0.10940185327770735,360314,5.652885228453664,0.1,0.6505246029459125,False,False,False,0.1835,0.10940185327770735
T5.4.web.mix_v1.0,T5.4,23034,93177,3.8261261627498735,0.2608748155935071,243033,6.372623570156468,0.10460698962176906,499408,7.835099680200013,0.1,0.09477725247188654,False,False,False,0.869,0.10460698962176906
F1.6.web.mix_v1.0,F1.6,27052,88738,3.6438475528306156,0.26883130258313837,248646,6.519803319817164,0.10088520915074783,668850,10.493437071696446,0.1,0.10879724588370615,False,False,False,0.6567,0.10088520915074783
T4.4.web.orig_v1.0,T4.4,50958,120152,4.93380030164872,0.21943088772570418,274220,7.19038499054987,0.1,552689,8.671013294040273,0.1,0.18582889650645468,False,False,False,0.4288,0.1
SF1.2.web.orig_v1.0,SF1.2,78633,179961,7.389736634304925,0.15358159476340705,295714,7.753984053298316,0.1,617296,9.68461797205641,0.1,0.2659089525690363,False,False,False,0.3414,0.1
T6.2.web.alt_v2.0,T6.2,121929,179825,7.384152067747363,0.15370482383360795,321440,8.428551350602984,0.1,569897,8.940985732000582,0.1,0.37932117969138873,False,False,False,0.2513,0.1
T6.3.web.map_v1.0,T6.3,241444,278357,11.430170538701251,0.1,365570,9.58569411784449,0.1,545657,8.560689829155518,0.1,0.6604590092184808,False,False,False,0.1393,0.1
S1.1_SF1.1.web.merged_v3,S1.1_SF1.1,321040,374976,15.397635510944724,0.1,476572,12.496302806929956,0.1,622437,9.765273963662287,0.1,0.6736442762059038,False,False,False,0.1,0.1
T5.1.web.mix_v1.0,T5.1,134842,335613,13.781273059434982,0.1,580282,15.215706305471006,0.1,956575,15.007489821122864,0.1,0.23237322543177283,False,False,False,0.3594,0.1
F1.3.web.map_v1.0,F1.3,252179,395187,16.227559589583635,0.1,606345,15.899110156425355,0.1,892752,14.006185142604687,0.1,0.4159001888363885,False,False,False,0.1293,0.1
TF1.2.web.orig_v2.0,TF1.2,292838,490792,20.15338669058175,0.1,795369,20.855551453390195,0.1,1337493,20.983626566994833,0.1,0.3681787949995537,False,False,False,0.1319,0.1
TF1.6_TF1.7.web.merged_v3,TF1.6_TF1.7,123245,375271,15.409749092815908,0.1,819338,21.484048054070268,0.1,1532634,24.045149783871437,0.1,0.15042021729737912,False,False,False,0.279,0.1
T6.4.web.orig_v1.0,T6.4,885390,1136395,46.66377583221334,0.1,1459559,38.271428511494335,0.1,1769173,27.756156902809924,0.1,0.606614737739276,False,False,False,0.1,0.1
F2.4.web.mix_v1.0,F2.4,596502,1013036,41.59828652357857,0.1,1647507,43.19965576772607,0.1,2499632,39.216163705462705,0.1,0.36206340853179986,False,False,False,0.1,0.1
T2.1.web.mix_v1.0,T2.1,1428135,2137232,87.76113494817645,0.1,3164327,82.97253798407009,0.1,4434996,69.57965379266719,0.1,0.45132345677295677,False,False,False,0.1,0.1
