feature,code,cells,pct_pu,pct_in_PAs,cap_max,leverage,rare_attainable,le1pct_footprint,south_share,mean_lat,target
F1.1.web.mix_v2.0,F1.1,1429,0.11226210097461416,0.6997900629811057,1.0,1.0,True,True,1.0,46.16474533081055,0.9418129705466887
T5.4.web.mix_v1.0,T5.4,2234,0.1755028226573044,0.0,1.0,1.0,True,True,1.0,43.93357849121094,0.8689813545103579
T6.1.web.map_v1.0,T6.1,2730,0.21446853440216698,48.64468864468864,1.0,1.0,True,True,0.7252747252747253,51.77848434448242,0.8362984974949103
F2.1.web.alt_v4.0,F2.1,6075,0.47725140897185514,19.868312757201643,1.0,1.0,True,True,0.9048559670781893,49.310577392578125,0.7059177245915151
F1.6.web.mix_v1.0,F1.6,8215,0.6453696007742864,19.269628727936702,1.0,1.0,True,True,1.0,42.652042388916016,0.6567275211151652
T2.2.web.mix_v1.0,T2.2,11495,0.9030460816677325,0.37407568508046973,1.0,1.0,True,True,0.14667246628969116,54.85602569580078,0.6019674910160325
F1.2.web.map_v1.0,F1.2,23187,1.821568464169614,15.163669297451158,1.0,1.0,True,False,1.0,45.61385726928711,0.4875934754947141
T4.4.web.orig_v1.0,T4.4,33263,2.6131380438898466,10.747677599735441,1.0,1.0,True,False,1.0,46.7694206237793,0.428774168967318
T5.1.web.mix_v1.0,T5.1,50897,3.9984633683029647,0.4420692771676131,1.0,1.0,True,False,1.0,45.985416412353516,0.35944061959959184
SF1.2.web.orig_v1.0,SF1.2,56842,4.465501989922336,6.0712149466943455,1.0,1.0,True,False,0.3183385524788009,53.54606246948242,0.34143372663836846
TF1.6_TF1.7.web.merged_v3,TF1.6_TF1.7,83382,6.550481807883329,6.748458900002399,1.0,1.0,True,False,0.0037777937684392313,60.73986053466797,0.2789790107940099
T6.2.web.alt_v2.0,T6.2,98830,7.764075184969291,30.024284124253768,1.0,1.0,True,False,0.415744207224527,55.737247467041016,0.2512740480014346
T3.4.web.mix_v1.0,T3.4,149811,11.769137585100015,29.487821321531797,1.0,1.0,True,False,1.0,44.781803131103516,0.18347025964072394
T6.3.web.map_v1.0,T6.3,196397,15.428929212814063,19.937677255762562,1.0,1.0,True,False,0.08042892712210471,59.487186431884766,0.13933569766005982
TF1.2.web.orig_v2.0,TF1.2,205540,16.147202403304544,20.95699133988518,1.0,1.0,True,False,1.0,45.44300079345703,0.1319187680073305
F1.3.web.map_v1.0,F1.3,208825,16.405271683711547,15.403807015443553,1.0,1.0,True,False,0.42851670058661556,54.562461853027344,0.12933424792961457
S1.1_SF1.1.web.merged_v3,S1.1_SF1.1,278764,21.899672719445306,22.536625963180324,1.0,1.0,True,False,0.23879338795540314,58.49741744995117,0.1
F2.4.web.mix_v1.0,F2.4,491075,38.57880422400885,15.176296899658912,0.8353906797609267,0.8353906797609267,False,False,0.30058137758998116,56.6406364440918,0.1
T6.4.web.orig_v1.0,T6.4,812880,63.85977371605623,18.399271725223894,0.6040411130056444,0.6040411130056444,False,False,0.47168831807892925,53.483131408691406,0.1
T2.1.web.mix_v1.0,T2.1,1225770,96.29637194657298,15.566052358925411,0.412400726583137,0.23165669162766286,False,False,0.3517291172079591,55.98146438598633,0.1
